"fromMemberName","toMemberName","fromIncomingDependencies","fromOutgoingDependencies","toIncomingDependencies","toOutgoingDependencies","Source Cypher File: Centrality/Centrality_10d_Bridges_Stream.cypher"
"org.axonframework.common.property.AbstractMethodPropertyAccessStrategy","org.axonframework.common.property.BeanPropertyAccessStrategy",2,3,,1,""
"org.axonframework.common.property.AbstractMethodPropertyAccessStrategy","org.axonframework.common.property.UniformPropertyAccessStrategy",2,3,,1,""
"org.axonframework.messaging.annotation.AggregateTypeParameterResolverFactory","org.axonframework.messaging.annotation.AggregateType",,5,1,,""
"org.axonframework.messaging.annotation.SourceIdParameterResolverFactory","org.axonframework.messaging.annotation.SourceId",,5,1,,""
"org.axonframework.messaging.annotation.MessageIdentifierParameterResolverFactory","org.axonframework.messaging.annotation.MessageIdentifier",,5,1,,""
"org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventScheduler","org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventSchedulerSupplier",3,22,,1,""
"org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventScheduler","org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerHumanReadableEventData",3,22,1,,""
"org.axonframework.commandhandling.distributed.ConsistentHash","org.axonframework.commandhandling.distributed.ConsistentHashChangeListener",3,7,,1,""
"org.axonframework.commandhandling.distributed.Member","org.axonframework.commandhandling.distributed.SimpleMember",6,,,1,""
"org.axonframework.eventhandling.AllowReplay","org.axonframework.eventhandling.DisallowReplay",2,1,,1,""
"org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManager","org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManagerSupplier",3,28,,1,""
"org.axonframework.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder","org.axonframework.tracing.opentelemetry.MetadataContextSetter",2,6,1,,""
"org.axonframework.commandhandling.gateway.AxonNonTransientExceptionClassesPredicate","org.axonframework.commandhandling.gateway.NonTransientExceptionClassesPredicate",1,2,1,,""
"org.axonframework.eventhandling.tokenstore.inmemory.InMemoryTokenStore","org.axonframework.eventhandling.tokenstore.inmemory.InMemoryTokenStore$ProcessAndSegment",2,9,1,,""
"org.axonframework.test.aggregate.StubAggregateLifecycle","org.axonframework.test.aggregate.StubAggregateLifecycleRule",3,9,1,2,""
"org.axonframework.test.aggregate.StubAggregateLifecycle","org.axonframework.test.aggregate.StubAggregateLifecycleExtension",3,9,,1,""
"org.axonframework.eventsourcing.AbstractSnapshotter$Builder","org.axonframework.common.DirectExecutor",3,11,1,,""
"org.axonframework.test.eventscheduler.StubEventScheduler","org.axonframework.test.eventscheduler.EventConsumer",3,7,1,,""
"org.axonframework.axonserver.connector.InstructionAckSource","org.axonframework.axonserver.connector.DefaultInstructionAckSource",2,1,,1,""
"org.axonframework.axonserver.connector.query.AxonServerQueryBus$Builder","org.axonframework.axonserver.connector.util.UpstreamAwareStreamObserver",3,21,1,,""
"org.axonframework.axonserver.connector.AxonServerConfiguration","org.axonframework.axonserver.connector.AxonServerConfiguration$EventStoreConfiguration",28,7,1,,""
"org.axonframework.test.matchers.FieldFilter","org.axonframework.test.matchers.NonStaticFieldsFilter",18,,,1,""
"org.axonframework.test.matchers.Matchers","org.axonframework.test.matchers.PredicateMatcher",5,17,1,,""
"org.axonframework.test.matchers.Matchers","org.axonframework.test.matchers.EmptyCollectionMatcher",5,17,1,,""
"org.axonframework.test.matchers.Matchers","org.axonframework.test.matchers.NullOrVoidMatcher",5,17,1,,""
"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry","org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry$PK",1,5,1,,""
"org.axonframework.axonserver.connector.event.axon.EventBuffer","org.axonframework.axonserver.connector.event.axon.EventBuffer$SimpleSpliterator",1,14,1,,""
"org.axonframework.messaging.annotation.MessageInterceptingMember","org.axonframework.modelling.command.inspection.CommandHandlerInterceptorHandlingMember",4,1,,1,""
"org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManager","org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineToken",3,28,1,,""
"org.axonframework.eventhandling.ConcludesBatchParameterResolverFactory","org.axonframework.eventhandling.ConcludesBatch",,8,1,,""
"org.axonframework.test.matchers.MapEntryMatcher","org.axonframework.test.matchers.MapEntryMatcher$Matching",1,2,1,,""
"org.axonframework.test.matchers.MapEntryMatcher","org.axonframework.test.matchers.EqualsMatcher",1,2,1,,""
"org.axonframework.test.aggregate.ResultValidatorImpl","org.axonframework.test.matchers.MapEntryMatcher",1,18,1,2,""
"org.axonframework.eventhandling.replay.ReplayContextParameterResolverFactory","org.axonframework.eventhandling.replay.ReplayContext",,4,1,,""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory","org.axonframework.commandhandling.gateway.Timeout",5,25,1,,""
"org.axonframework.eventhandling.TimestampParameterResolverFactory","org.axonframework.eventhandling.Timestamp",,5,1,,""
"org.axonframework.eventhandling.SequenceNumberParameterResolverFactory","org.axonframework.eventhandling.SequenceNumber",,5,1,,""
"org.axonframework.eventhandling.EventHandler","org.axonframework.eventsourcing.EventSourcingHandler",3,2,,1,""
"org.axonframework.common.AxonNonTransientException","org.axonframework.queryhandling.CompletedEmitterException",26,1,,1,""
"org.axonframework.axonserver.connector.AxonServerConnectionManager","org.axonframework.axonserver.connector.ConnectionManager",26,6,1,,""
"org.axonframework.axonserver.connector.heartbeat.source.GrpcHeartbeatSource","org.axonframework.axonserver.connector.heartbeat.HeartbeatSource",,2,1,,""
"org.axonframework.axonserver.connector.AxonServerConnectionManager","org.axonframework.axonserver.connector.heartbeat.source.GrpcHeartbeatSource",26,6,,2,""
"org.axonframework.springboot.TracingProperties","org.axonframework.springboot.TracingProperties$AttributeProviders",1,8,1,,""
"org.axonframework.springboot.TracingProperties","org.axonframework.springboot.TracingProperties$RepositoryProperties",1,8,1,,""
"org.axonframework.modelling.command.inspection.AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel","org.axonframework.common.ListUtils",1,20,1,,""
"org.axonframework.common.ReflectionUtils","org.axonframework.common.MemberAccessibilityCallback",27,4,1,,""
"org.axonframework.serialization.ContentTypeConverter","org.axonframework.serialization.converters.StringToByteArrayConverter",17,,,1,""
"org.axonframework.serialization.ContentTypeConverter","org.axonframework.serialization.converters.ByteArrayToStringConverter",17,,,1,""
"org.axonframework.serialization.ContentTypeConverter","org.axonframework.serialization.converters.ByteArrayToInputStreamConverter",17,,,1,""
"org.axonframework.serialization.RevisionResolver","org.axonframework.serialization.FixedValueRevisionResolver",14,,,1,""
"org.axonframework.common.AxonException","org.axonframework.eventhandling.TransactionMethodExecutionException",28,,,1,""
"org.axonframework.common.AxonException","org.axonframework.commandhandling.distributed.ServiceRegistryException",28,,,1,""
"org.axonframework.springboot.MetricsProperties","org.axonframework.springboot.MetricsProperties$AutoConfiguration",2,2,1,,""
"org.axonframework.springboot.DistributedCommandBusProperties","org.axonframework.springboot.DistributedCommandBusProperties$JGroupsProperties",1,2,2,1,""
"org.axonframework.springboot.DistributedCommandBusProperties","org.axonframework.springboot.DistributedCommandBusProperties$SpringCloudProperties",1,2,1,,""
"org.axonframework.springboot.autoconfig.AxonAutoConfiguration","org.axonframework.springboot.DistributedCommandBusProperties",15,83,1,2,""
"org.axonframework.config.EventProcessingModule","org.axonframework.config.ProcessingGroup",3,68,1,,""
"org.axonframework.modelling.saga.SimpleResourceInjector","org.axonframework.test.utils.AutowiredResourceInjector",2,1,,1,""
"org.axonframework.test.aggregate.AggregateTestFixture","org.axonframework.test.aggregate.AggregateTestFixture$ComparationEntry",4,64,1,,""
"org.axonframework.axonserver.connector.util.GrpcBufferingInterceptor$AdditionalMessageRequestingCall","org.axonframework.axonserver.connector.util.GrpcBufferingInterceptor",1,,,1,""
"org.axonframework.axonserver.connector.DefaultHandlers","org.axonframework.axonserver.connector.Handlers",,1,1,,""
