"artifactName","fullPackageName","typeName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfExternalPackages","numberOfExternalTypes","externalPackageNames","externalTypeNames","packageName","fullTypeName","Source Cypher File: External_Dependencies/External_package_usage_per_type.cypher"
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.util","DefaultEntityRegistrar",6,7,6,6,"org.springframework.core.annotation,javax.annotation,org.springframework.boot.autoconfigure,org.springframework.context.annotation,org.springframework.core.type,org.springframework.beans.factory.support","org.springframework.core.annotation.Order,javax.annotation.Nonnull,org.springframework.boot.autoconfigure.AutoConfigurationPackages,org.springframework.context.annotation.ImportBeanDefinitionRegistrar,org.springframework.core.type.AnnotationMetadata,org.springframework.beans.factory.support.BeanDefinitionRegistry","util","org.axonframework.springboot.util.DefaultEntityRegistrar",""
"axon-messaging-4.10.1","org.axonframework.deadline.dbscheduler","DbSchedulerDeadlineManager",12,82,5,12,"javax.annotation,org.slf4j,com.github.kagkarlsson.scheduler,com.github.kagkarlsson.scheduler.task.helper,com.github.kagkarlsson.scheduler.task","javax.annotation.Nonnull,javax.annotation.Nullable,org.slf4j.Logger,org.slf4j.LoggerFactory,com.github.kagkarlsson.scheduler.Scheduler,com.github.kagkarlsson.scheduler.task.helper.Tasks$OneTimeTaskBuilder,com.github.kagkarlsson.scheduler.task.TaskWithDataDescriptor,com.github.kagkarlsson.scheduler.task.TaskInstance,com.github.kagkarlsson.scheduler.task.Task,com.github.kagkarlsson.scheduler.ScheduledExecution,com.github.kagkarlsson.scheduler.SchedulerState,com.github.kagkarlsson.scheduler.task.ExecutionContext","dbscheduler","org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManager",""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.dbscheduler","DbSchedulerEventScheduler",10,39,5,10,"javax.annotation,org.slf4j,com.github.kagkarlsson.scheduler,com.github.kagkarlsson.scheduler.task.helper,com.github.kagkarlsson.scheduler.task","javax.annotation.Nonnull,org.slf4j.Logger,org.slf4j.LoggerFactory,com.github.kagkarlsson.scheduler.Scheduler,com.github.kagkarlsson.scheduler.task.helper.Tasks$OneTimeTaskBuilder,com.github.kagkarlsson.scheduler.task.TaskWithDataDescriptor,com.github.kagkarlsson.scheduler.task.TaskInstance,com.github.kagkarlsson.scheduler.task.Task,com.github.kagkarlsson.scheduler.SchedulerState,com.github.kagkarlsson.scheduler.task.ExecutionContext","dbscheduler","org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventScheduler",""
"axon-messaging-4.10.1","org.axonframework.serialization.xml","XStreamSerializer",7,19,5,7,"org.slf4j,com.thoughtworks.xstream,org.dom4j,nu.xom,com.thoughtworks.xstream.io.xml","org.slf4j.Logger,org.slf4j.LoggerFactory,com.thoughtworks.xstream.XStream,org.dom4j.Document,nu.xom.Document,com.thoughtworks.xstream.io.xml.Dom4JReader,com.thoughtworks.xstream.io.xml.XomReader","xml","org.axonframework.serialization.xml.XStreamSerializer",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector","AxonServerConnectionManager",6,26,5,6,"javax.annotation,io.grpc,io.axoniq.axonserver.connector,io.axoniq.axonserver.connector.control,io.axoniq.axonserver.connector.impl","javax.annotation.Nonnull,io.grpc.Channel,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.connector.control.ControlChannel,io.axoniq.axonserver.connector.AxonServerConnectionFactory,io.axoniq.axonserver.connector.impl.ContextConnection","connector","org.axonframework.axonserver.connector.AxonServerConnectionManager",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.command","AxonServerCommandBus",8,22,5,8,"javax.annotation,org.slf4j,io.axoniq.axonserver.connector,io.axoniq.axonserver.grpc.command,io.axoniq.axonserver.connector.command","javax.annotation.Nonnull,org.slf4j.Logger,org.slf4j.LoggerFactory,io.axoniq.axonserver.connector.AxonServerConnection,io.axoniq.axonserver.connector.Registration,io.axoniq.axonserver.grpc.command.Command,io.axoniq.axonserver.grpc.command.CommandResponse,io.axoniq.axonserver.connector.command.CommandChannel","command","org.axonframework.axonserver.connector.command.AxonServerCommandBus",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.axon","PersistentStreamConnection$SegmentConnection",5,45,5,5,"org.slf4j,io.axoniq.axonserver.grpc.event,io.axoniq.axonserver.connector.event,io.axoniq.axonserver.connector.impl,io.axoniq.axonserver.grpc.streams","org.slf4j.Logger,io.axoniq.axonserver.grpc.event.EventWithToken,io.axoniq.axonserver.connector.event.PersistentStreamSegment,io.axoniq.axonserver.connector.impl.StreamClosedException,io.axoniq.axonserver.grpc.streams.PersistentStreamEvent","axon","org.axonframework.axonserver.connector.event.axon.PersistentStreamConnection$SegmentConnection",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","AxonServerQueryBus$LocalSegmentAdapter",12,33,5,12,"io.axoniq.axonserver.grpc.query,io.axoniq.axonserver.connector,reactor.core.publisher,io.axoniq.axonserver.connector.query,io.axoniq.axonserver.connector.impl","io.axoniq.axonserver.grpc.query.QueryResponse,io.axoniq.axonserver.connector.ReplyChannel,io.axoniq.axonserver.grpc.query.QueryRequest,io.axoniq.axonserver.connector.Registration,reactor.core.publisher.Flux,io.axoniq.axonserver.connector.FlowControl,io.axoniq.axonserver.grpc.query.QueryUpdate,io.axoniq.axonserver.grpc.query.QueryUpdate$Builder,io.axoniq.axonserver.grpc.query.SubscriptionQuery,io.axoniq.axonserver.connector.query.QueryHandler,io.axoniq.axonserver.connector.query.QueryHandler$UpdateHandler,io.axoniq.axonserver.connector.impl.CloseAwareReplyChannel","query","org.axonframework.axonserver.connector.query.AxonServerQueryBus$LocalSegmentAdapter",""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query.subscription","AxonServerSubscriptionQueryResult",8,60,5,8,"org.slf4j,io.axoniq.axonserver.connector,reactor.core.publisher,io.axoniq.axonserver.connector.query,io.axoniq.axonserver.grpc.query","org.slf4j.Logger,org.slf4j.LoggerFactory,io.axoniq.axonserver.connector.ResultStream,reactor.core.publisher.Mono,reactor.core.publisher.Flux,io.axoniq.axonserver.connector.query.SubscriptionQueryResult,reactor.core.publisher.FluxSink,io.axoniq.axonserver.grpc.query.QueryUpdate","subscription","org.axonframework.axonserver.connector.query.subscription.AxonServerSubscriptionQueryResult",""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig","CBORMapperAutoConfiguration",8,13,5,8,"org.springframework.boot.autoconfigure,org.springframework.boot.autoconfigure.condition,org.springframework.context.annotation,org.springframework.boot.context.properties,com.fasterxml.jackson.dataformat.cbor.databind","org.springframework.boot.autoconfigure.AutoConfiguration,org.springframework.boot.autoconfigure.AutoConfigureBefore,org.springframework.boot.autoconfigure.condition.ConditionalOnClass,org.springframework.context.annotation.Bean,org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean,org.springframework.boot.context.properties.EnableConfigurationProperties,org.springframework.boot.autoconfigure.condition.ConditionalOnExpression,com.fasterxml.jackson.dataformat.cbor.databind.CBORMapper","autoconfig","org.axonframework.springboot.autoconfig.CBORMapperAutoConfiguration",""
