"artifactName","packageName","dependentArtifactName","dependentPackageName","dependency","forwardToBackwardBalance","numberForward","numberBackward","Source Cypher File: Cyclic_Dependencies/Cyclic_Dependencies_Breakdown_Backward_Only.cypher"
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-CreateTailTokenStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-CleanGapsStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-FetchTrackedEventsStatementBuilder",0.3170731707317073,27,14,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements","EventSchema<-CreateHeadTokenStatementBuilder",0.3170731707317073,27,14,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore","TrackingToken<-AbstractTokenEntry",0.2857142857142857,9,5,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore","TrackingToken<-TokenStore",0.2857142857142857,9,5,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore","Segment<-TokenStore",0.2857142857142857,9,5,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore","TrackingToken<-ConfigToken",0.2857142857142857,9,5,""
"axon-messaging-4.9.3","org.axonframework.eventhandling","axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore","TrackingToken<-GenericTokenEntry",0.2857142857142857,9,5,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","AggregateModel<-GenericJpaRepository$Builder",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","EntityModel<-ForwardingMode",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","AnnotatedAggregate<-GenericJpaRepository",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","AnnotatedAggregateMetaModelFactory<-AbstractRepository$Builder",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","AggregateModel<-AbstractRepository$Builder",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","AggregateModel<-LockingRepository$Builder",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","AggregateModel<-AbstractRepository",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","AggregateModel<-AggregateAnnotationCommandHandler$Builder",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","AnnotatedAggregateMetaModelFactory<-AggregateAnnotationCommandHandler$Builder",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","EntityModel<-ForwardMatchingInstances",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","CreationPolicyMember<-AggregateAnnotationCommandHandler",0.25,20,12,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.inspection","axon-modelling-4.9.3","org.axonframework.modelling.command","AggregateModel<-AggregateAnnotationCommandHandler",0.25,20,12,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration","axon-messaging-4.9.3","org.axonframework.queryhandling","DuplicateQueryHandlerResolver<-SimpleQueryBus$Builder",0.25,5,3,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration","axon-messaging-4.9.3","org.axonframework.queryhandling","DuplicateQueryHandlerResolution<-SimpleQueryBus$Builder",0.25,5,3,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration","axon-messaging-4.9.3","org.axonframework.queryhandling","DuplicateQueryHandlerResolver<-SimpleQueryBus",0.25,5,3,""
"axon-messaging-4.9.3","org.axonframework.messaging","axon-messaging-4.9.3","org.axonframework.serialization","MetaData<-AbstractXStreamSerializer$MetaDataConverter",0.23809523809523808,13,8,""
"axon-messaging-4.9.3","org.axonframework.messaging","axon-messaging-4.9.3","org.axonframework.serialization","Message<-SerializedObjectHolder",0.23809523809523808,13,8,""
"axon-messaging-4.9.3","org.axonframework.messaging","axon-messaging-4.9.3","org.axonframework.serialization","GenericMessage<-SerializedMessage",0.23809523809523808,13,8,""
"axon-messaging-4.9.3","org.axonframework.messaging","axon-messaging-4.9.3","org.axonframework.serialization","Message<-SerializedMessage",0.23809523809523808,13,8,""
"axon-messaging-4.9.3","org.axonframework.messaging","axon-messaging-4.9.3","org.axonframework.serialization","MetaData<-SerializedMessage",0.23809523809523808,13,8,""
"axon-messaging-4.9.3","org.axonframework.messaging","axon-messaging-4.9.3","org.axonframework.serialization","AbstractMessage<-SerializedMessage",0.23809523809523808,13,8,""
"axon-messaging-4.9.3","org.axonframework.messaging","axon-messaging-4.9.3","org.axonframework.serialization","MetaData<-AbstractXStreamSerializer",0.23809523809523808,13,8,""
"axon-messaging-4.9.3","org.axonframework.messaging","axon-messaging-4.9.3","org.axonframework.serialization","MetaData<-SerializedMetaData",0.23809523809523808,13,8,""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation","axon-messaging-4.9.3","org.axonframework.messaging.interceptors","HasHandlerAttributes<-ResultHandler",0.2,3,2,""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation","axon-messaging-4.9.3","org.axonframework.messaging.interceptors","MessageHandler<-MessageHandlerInterceptor",0.2,3,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga","axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel","SagaMethodMessageHandlingMember<-AnnotationSagaMetaModelFactory$InspectedSagaModel",0.14285714285714285,4,3,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga","axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel","AssociationValue<-AnnotationSagaMetaModelFactory$InspectedSagaModel",0.14285714285714285,4,3,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga","axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel","AssociationValue<-SagaModel",0.14285714285714285,4,3,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter","axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","OrCommandMessageFilter<-CommandMessageFilter",0.07692307692307693,7,6,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter","axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","AndCommandMessageFilter<-CommandMessageFilter",0.07692307692307693,7,6,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter","axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","NegateCommandMessageFilter<-CommandMessageFilter",0.07692307692307693,7,6,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter","axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","DenyCommandNameFilter<-DistributedCommandBus",0.07692307692307693,7,6,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter","axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","CommandNameFilter<-DistributedCommandBus",0.07692307692307693,7,6,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter","axon-messaging-4.9.3","org.axonframework.commandhandling.distributed","DenyAll<-DistributedCommandBus",0.07692307692307693,7,6,""
