"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: Similarity/Similarity_1d_Stream_Mutated.cypher"
0.427536231884058,"axon-messaging-4.9.0","org.axonframework.eventhandling.tokenstore.jpa",9,29,"axon-messaging-4.9.0","org.axonframework.eventhandling.tokenstore.legacyjpa",2,22,""
0.427536231884058,"axon-messaging-4.9.0","org.axonframework.eventhandling.tokenstore.legacyjpa",2,22,"axon-messaging-4.9.0","org.axonframework.eventhandling.tokenstore.jpa",9,29,""
0.42105263157894735,"axon-messaging-4.9.0","org.axonframework.eventhandling.tokenstore.jpa",9,29,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling.quartz",10,44,""
0.41379310344827586,"axon-messaging-4.9.0","org.axonframework.eventhandling.gateway",11,21,"axon-messaging-4.9.0","org.axonframework.eventhandling.replay",12,36,""
0.41379310344827586,"axon-messaging-4.9.0","org.axonframework.eventhandling.replay",12,36,"axon-messaging-4.9.0","org.axonframework.eventhandling.gateway",11,21,""
0.4065040650406504,"axon-messaging-4.9.0","org.axonframework.commandhandling",285,160,"axon-messaging-4.9.0","org.axonframework.messaging.unitofwork",176,59,""
0.4,"axon-messaging-4.9.0","org.axonframework.eventhandling.async",36,44,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling.quartz",10,44,""
0.4,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.jdbc",36,83,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.jpa",9,45,""
0.4,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.jpa",9,45,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.jdbc",36,83,""
0.3974358974358974,"axon-messaging-4.9.0","org.axonframework.serialization.json",7,33,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling.dbscheduler",7,32,""
0.39473684210526316,"axon-messaging-4.9.0","org.axonframework.serialization.upcasting.event",38,53,"axon-messaging-4.9.0","org.axonframework.serialization.xml",17,24,""
0.39473684210526316,"axon-messaging-4.9.0","org.axonframework.serialization.xml",17,24,"axon-messaging-4.9.0","org.axonframework.serialization.upcasting.event",38,53,""
0.39080459770114945,"axon-messaging-4.9.0","org.axonframework.serialization.json",7,33,"axon-messaging-4.9.0","org.axonframework.serialization.upcasting.event",38,53,""
0.39080459770114945,"axon-messaging-4.9.0","org.axonframework.serialization.upcasting.event",38,53,"axon-messaging-4.9.0","org.axonframework.serialization.json",7,33,""
0.3902439024390244,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing",124,223,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.jpa",9,45,""
0.3902439024390244,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing.eventstore.jpa",9,45,"axon-eventsourcing-4.9.0","org.axonframework.eventsourcing",124,223,""
0.38392857142857145,"axon-messaging-4.9.0","org.axonframework.deadline.jobrunr",5,49,"axon-messaging-4.9.0","org.axonframework.serialization.upcasting.event",38,53,""
0.38392857142857145,"axon-messaging-4.9.0","org.axonframework.serialization.upcasting.event",38,53,"axon-messaging-4.9.0","org.axonframework.deadline.jobrunr",5,49,""
0.38345864661654133,"axon-messaging-4.9.0","org.axonframework.deadline.dbscheduler",7,58,"axon-messaging-4.9.0","org.axonframework.serialization.upcasting.event",38,53,""
0.38235294117647056,"axon-messaging-4.9.0","org.axonframework.serialization.xml",17,24,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling.dbscheduler",7,32,""
0.3793103448275862,"axon-messaging-4.9.0","org.axonframework.eventhandling.gateway",11,21,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling.java",5,24,""
0.3783783783783784,"axon-modelling-4.9.0","org.axonframework.modelling.saga.repository.inmemory",5,7,"axon-modelling-4.9.0","org.axonframework.modelling.saga.repository.jpa",12,29,""
0.3783783783783784,"axon-modelling-4.9.0","org.axonframework.modelling.saga.repository.jpa",12,29,"axon-modelling-4.9.0","org.axonframework.modelling.saga.repository.inmemory",5,7,""
0.375,"axon-messaging-4.9.0","org.axonframework.common.jdbc",65,36,"axon-messaging-4.9.0","org.axonframework.eventhandling.interceptors",0,7,""
0.375,"axon-messaging-4.9.0","org.axonframework.eventhandling.interceptors",0,7,"axon-messaging-4.9.0","org.axonframework.common.jdbc",65,36,""
0.37142857142857144,"axon-messaging-4.9.0","org.axonframework.eventhandling.tokenstore.inmemory",2,9,"axon-messaging-4.9.0","org.axonframework.eventhandling.scheduling.java",5,24,""
0.3694029850746269,"axon-messaging-4.9.0","org.axonframework.queryhandling",181,265,"axon-messaging-4.9.0","org.axonframework.commandhandling",285,160,""
