"dependentType.fqn","dependentType.name","dependentTypeLabels","numberOfUsingPackages","Source Cypher File: List_types_that_are_used_by_many_different_packages.cypher"
"org.axonframework.messaging.deadletter.SequencedDeadLetterQueue","SequencedDeadLetterQueue","Type,File,Java,ByteCode,GenericDeclaration,Interface",4,"",""
"org.axonframework.messaging.deadletter.DeadLetter","DeadLetter","Type,File,Java,ByteCode,GenericDeclaration,Interface",4,"",""
"org.axonframework.eventhandling.tokenstore.UnableToInitializeTokenException","UnableToInitializeTokenException","Type,File,Java,ByteCode,Class",4,"",""
"org.axonframework.modelling.saga.AssociationValues","AssociationValues","Type,File,Java,ByteCode,Interface",4,"",""
"org.axonframework.modelling.saga.repository.SagaStore$Entry","SagaStore$Entry","Type,File,Java,ByteCode,GenericDeclaration,Interface",4,"",""
"org.axonframework.modelling.saga.repository.SagaStore","SagaStore","Type,File,Java,ByteCode,GenericDeclaration,Interface",4,"",""
"org.axonframework.test.FixtureExecutionException","FixtureExecutionException","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.modelling.command.ApplyMore","ApplyMore","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.eventhandling.TrackingEventStream","TrackingEventStream","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.messaging.HandlerExecutionException","HandlerExecutionException","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.test.matchers.Matchers","Matchers","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.test.matchers.FieldFilter","FieldFilter","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.modelling.command.ConflictingAggregateVersionException","ConflictingAggregateVersionException","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.modelling.command.CommandTargetResolver","CommandTargetResolver","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.eventsourcing.AggregateFactory","AggregateFactory","Type,File,Java,ByteCode,GenericDeclaration,Interface",3,"",""
"org.axonframework.eventhandling.ListenerInvocationErrorHandler","ListenerInvocationErrorHandler","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.modelling.saga.ResourceInjector","ResourceInjector","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.eventhandling.EventMessageHandler","EventMessageHandler","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.eventhandling.EventHandler","EventHandler","Type,File,Java,ByteCode,Annotation",3,"",""
"org.axonframework.modelling.command.ConcurrencyException","ConcurrencyException","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.serialization.LazyDeserializingObject","LazyDeserializingObject","Type,File,Java,ByteCode,Class,GenericDeclaration",3,"",""
"org.axonframework.eventhandling.GenericTrackedDomainEventMessage","GenericTrackedDomainEventMessage","Type,File,Java,ByteCode,Class,GenericDeclaration",3,"",""
"org.axonframework.eventhandling.DomainEventSequenceAware","DomainEventSequenceAware","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.common.jdbc.ConnectionProvider","ConnectionProvider","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine$Builder","BatchingEventStorageEngine$Builder","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine$Builder","AbstractEventStorageEngine$Builder","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.common.jdbc.JdbcUtils","JdbcUtils","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.eventhandling.GenericDomainEventEntry","GenericDomainEventEntry","Type,File,Java,ByteCode,Class,GenericDeclaration",3,"",""
"org.axonframework.eventhandling.TrackedDomainEventData","TrackedDomainEventData","Type,File,Java,ByteCode,Class,GenericDeclaration",3,"",""
"org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine","BatchingEventStorageEngine","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.commandhandling.callbacks.LoggingCallback","LoggingCallback","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.messaging.responsetypes.ResponseType","ResponseType","Type,File,Java,ByteCode,GenericDeclaration,Interface",3,"",""
"org.axonframework.messaging.deadletter.GenericDeadLetter","GenericDeadLetter","Type,File,Java,ByteCode,Class,GenericDeclaration",3,"",""
"org.axonframework.eventhandling.EventHandlerInvoker","EventHandlerInvoker","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.eventhandling.tokenstore.UnableToRetrieveIdentifierException","UnableToRetrieveIdentifierException","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.eventhandling.tokenstore.ConfigToken","ConfigToken","Type,File,Java,ByteCode,Class",3,"",""
"org.axonframework.messaging.correlation.CorrelationDataProvider","CorrelationDataProvider","Type,File,Java,ByteCode,Interface",3,"",""
"org.axonframework.queryhandling.QueryMessage","QueryMessage","Type,File,Java,ByteCode,GenericDeclaration,Interface",3,"",""
