"fullQualifiedPackageName","packageName","abstractness","numberAbstractTypes","numberTypes","Source Cypher File: Metrics/Calculate_and_set_Abstractness_including_Counts.cypher"
"org.axonframework.modelling.saga.metamodel","metamodel",0.5,2,4,""
"org.axonframework.common.transaction","transaction",0.5,2,4,""
"org.axonframework.messaging","messaging",0.6,21,35,""
"org.axonframework.lifecycle","lifecycle",0.6,6,10,""
"org.axonframework.eventhandling.gateway","gateway",0.6,3,5,""
"org.axonframework.common","common",0.6428571428571429,18,28,""
"org.axonframework.common.annotation","annotation",0.6666666666666666,2,3,""
"org.axonframework.common.stream","stream",0.6666666666666666,2,3,""
"org.axonframework.eventhandling.scheduling","scheduling",0.6666666666666666,2,3,""
"org.axonframework.serialization.upcasting","upcasting",0.8333333333333334,5,6,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",1,15,15,""
