"codeUnitName","communityId","centrality","artifactName","embedding","Source Cypher File: Dependencies_Projection/Dependencies_8_Stream_Mutated.cypher"
"org.axonframework.modelling.saga.AbstractSagaManager$Builder",4,0.0019462871942624532,"axon-modelling-4.8.0","-0.5170344114303589,-0.14282716810703278,0.02381342276930809,0.2817615866661072,0.09549038857221603,-0.015564164146780968,-0.04235861077904701,0.07390350103378296,0.07056863605976105,0.07514669746160507,-0.4239048361778259,0.06202740967273712,-0.11618377268314362,-0.15247204899787903,0.09535872936248779,-0.26568731665611267,0.05168832838535309,0.04079652205109596,0.509781539440155,0.2269314080476761,0.1423582285642624,-0.4836065173149109,0.1272880584001541,-0.15317019820213318,0.09298952668905258,-0.09673929959535599,0.23239535093307495,0.10744257271289825,-0.017038248479366302,-0.16476988792419434,-0.2757207155227661,-0.023572193458676338,-0.007764395326375961,0.07014764845371246,-0.03941314294934273,-0.04094947129487991,-0.011729113757610321,0.1499195396900177,0.0018320083618164062,-0.20295754075050354,-0.22988799214363098,-0.21162103116512299,-0.10291387885808945,-0.0362735390663147,-0.41415202617645264,0.1252371221780777,-0.1289030760526657,0.0732506588101387,0.06543135643005371,-0.3409920036792755,0.1565956026315689,-0.10643114149570465,0.04750813543796539,-0.04617895185947418,-0.42731165885925293,0.1572692096233368,0.18700850009918213,0.24740858376026154,-0.15632694959640503,-0.3561120927333832,0.3606642484664917,-0.5530277490615845,0.13114754855632782,-0.11787967383861542",""
"org.axonframework.modelling.saga.SagaRepository",4,0.0024224774765729063,"axon-modelling-4.8.0","-0.2932661473751068,0.17085789144039154,-0.2023746222257614,-0.15770214796066284,0.18710973858833313,-0.19158536195755005,-0.10378991067409515,0.016251834109425545,-0.18234561383724213,0.09703518450260162,-0.47026771306991577,0.17085789144039154,-0.1799791306257248,-0.218626469373703,0.28376904129981995,-0.11694566905498505,0.02072747051715851,-0.0746396854519844,0.4502387046813965,0.02915022149682045,0.13457705080509186,-0.26174941658973694,-0.15322652459144592,-0.031516727060079575,0.12618541717529297,-0.1260669082403183,0.02984866499900818,-0.0877954438328743,0.010789260268211365,-0.10168078541755676,-0.28165993094444275,0.053912218660116196,0.1464717835187912,-0.08542894572019577,0.06303345412015915,0.07928528636693954,0.09455018490552902,-0.08542894572019577,0.37194037437438965,-0.031516727060079575,0,-0.11931216716766357,0.05627872422337532,0.0877954438328743,-0.3624432682991028,-0.22477012872695923,0.06303345412015915,0,0.1647142469882965,-0.18921884894371033,0.09455018490552902,-0.08542894572019577,0.18947622179985046,-0.18947622179985046,-0.10615641623735428,0.17322438955307007,0.01763138175010681,0.25865334272384644,-0.013155750930309296,-0.22546854615211487,0.31554311513900757,-0.3691979944705963,-0.09455018490552902,-0.13556399941444397",""
"org.axonframework.modelling.saga.SagaInstantiationException",5,0.0015188380558117643,"axon-modelling-4.8.0","-0.196116104722023,-0.196116104722023,0,0,0,0.196116104722023,0,0,0,0,0,0,0.196116104722023,0,0,0,-0.196116104722023,0.196116104722023,0,0,0,0,0,-0.196116104722023,0,-0.196116104722023,0,0,0,-0.196116104722023,0,0,0,0,-0.196116104722023,0.196116104722023,0.196116104722023,0,0.196116104722023,0.196116104722023,-0.196116104722023,-0.196116104722023,0.196116104722023,0,0,0.196116104722023,0,0.196116104722023,0,-0.196116104722023,0,0,0,0,0,-0.196116104722023,0.196116104722023,-0.196116104722023,-0.196116104722023,-0.196116104722023,0.196116104722023,0,0,0",""
"org.axonframework.modelling.saga.AbstractSagaManager",4,0.002011620513132103,"axon-modelling-4.8.0","-0.5154054164886475,0.02974521927535534,0.018361777067184448,0.12556706368923187,0.2413119226694107,0.11053658276796341,0.1323951631784439,0.3055838346481323,-0.023467492312192917,0.0746270939707756,-0.4034566879272461,0.2635110020637512,-0.19582000374794006,-0.28742125630378723,-0.003479011356830597,-0.18706637620925903,0.027454372495412827,-0.024255141615867615,0.47233760356903076,0.16095049679279327,0.04806128889322281,-0.580707848072052,-0.13908039033412933,-0.11708641797304153,0.08637484163045883,-0.020154230296611786,0.0007238015532493591,0.00366901233792305,0.04961186647415161,-0.3115804195404053,-0.4159006178379059,0.07298541069030762,0.3091133236885071,0.04763335734605789,0.020878056064248085,0.11524772644042969,-0.04009160026907921,-0.06588046252727509,0.3295995593070984,-0.2122451663017273,-0.1292860209941864,-0.16294528543949127,0.06513873487710953,0.07558386027812958,-0.341840922832489,-0.011401265859603882,-0.1872202306985855,0.06372202932834625,0.17915078997612,-0.14485658705234528,0.12758974730968475,-0.07288401573896408,0.3484295904636383,-0.28248360753059387,-0.1247713714838028,0.17931528389453888,0.07879699766635895,0.23999901115894318,-0.15700173377990723,-0.2818996012210846,0.40229541063308716,-0.40799304842948914,0.04937362298369408,-0.303987592458725",""
"org.axonframework.modelling.saga.SagaScopeDescriptor",4,0.0016054268220678826,"axon-modelling-4.8.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",""
"org.axonframework.modelling.saga.Saga",4,0.00328273235264705,"axon-modelling-4.8.0","-0.44844990968704224,-0.1491948664188385,-0.03151671960949898,0.002349153161048889,0.0824490636587143,-0.03518454730510712,-0.09658398479223251,0.08965496718883514,-0.160727858543396,0.10424106568098068,-0.21038010716438293,-0.05660757049918175,0.047438815236091614,-0.12477463483810425,0.1983400583267212,-0.10974200069904327,0.0459933876991272,0.04573385417461395,0.2865866422653198,0.032755423337221146,0.1502080261707306,-0.2713412642478943,0.11148539930582047,-0.2661427855491638,0.06597712635993958,-0.2716588079929352,0.2825325131416321,-0.06978066265583038,-0.08544625341892242,-0.2460557371377945,-0.19141104817390442,-0.0351196713745594,-0.02920600026845932,0,-0.1607837677001953,0.22005504369735718,0.2257302701473236,0,0.42007744312286377,0.0358499251306057,-0.15640076994895935,-0.2685070037841797,0.12724831700325012,0.09139837324619293,-0.21320302784442902,0.20232930779457092,-0.04041250795125961,0.15640076994895935,0.06725722551345825,-0.25298476219177246,0.12337377667427063,0.078225277364254,0.17745038866996765,-0.17384743690490723,-0.21320302784442902,-0.061399444937705994,0.27148914337158203,-0.06500239670276642,-0.15874992311000824,-0.5455235242843628,0.44910919666290283,-0.22356072068214417,-0.07293245196342468,-0.2871924042701721",""
"org.axonframework.modelling.saga.AssociationValue",6,0.026239507646796098,"axon-modelling-4.8.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",""
"org.axonframework.modelling.saga.SagaInitializationPolicy",4,0.0016733802412916444,"axon-modelling-4.8.0","-0.23570223152637482,0,0,0,0.23570223152637482,0,0,0.23570223152637482,0,0,0,0,0,-0.23570223152637482,0,0,0,0,0,0,-0.23570223152637482,-0.23570223152637482,-0.23570223152637482,0,0,0,0,0,0,-0.23570223152637482,-0.23570223152637482,0,0.23570223152637482,0,0,0.23570223152637482,0,0,0.23570223152637482,0,0,0,0,0,0,0,0,0,0.23570223152637482,0,0,0,0.23570223152637482,-0.23570223152637482,0,0,-0.23570223152637482,0,0,0,0.23570223152637482,0,0,-0.23570223152637482",""
"org.axonframework.modelling.saga.SagaCreationPolicy",4,0.002825541396138924,"axon-modelling-4.8.0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",""
"org.axonframework.modelling.saga.AssociationValues",6,0.0033691378254042726,"axon-modelling-4.8.0","-0.2357022911310196,0,0,0,0.2357022911310196,0,0,0.2357022911310196,0,0,0,0,0,-0.2357022911310196,0,0,0,0,0,0,-0.2357022911310196,-0.2357022911310196,-0.2357022911310196,0,0,0,0,0,0,-0.2357022911310196,-0.2357022911310196,0,0.2357022911310196,0,0,0.2357022911310196,0,0,0.2357022911310196,0,0,0,0,0,0,0,0,0,0.2357022911310196,0,0,0,0.2357022911310196,-0.2357022911310196,0,0,-0.2357022911310196,0,0,0,0.2357022911310196,0,0,-0.2357022911310196",""
