"artifactName","deprecatedElementType","elementUsingDeprecatedElement","deprecatedElement","Source Cypher File: Java/Java_deprecated_element_usage_detailed.cypher"
"axon-modelling-4.6.8","Method","org.axonframework.modelling.command.inspection.AbstractChildEntityDefinition.extractCommandHandlerRoutingKeys","java.util.List commandHandlers()",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.annotationAttributes","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember.hasAnnotation","boolean hasAnnotation(java.lang.Class)",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.command.inspection.MethodCommandHandlerInterceptorDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.command.inspection.MethodCreationPolicyDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.saga.EndSagaMessageHandlerDefinition.wrapHandler","boolean hasAnnotation(java.lang.Class)",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.saga.SagaMethodMessageHandlerDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.saga.SagaMethodMessageHandlerDefinition.wrapHandler","java.util.Optional annotationAttributes(java.lang.Class)",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.saga.metamodel.AnnotationSagaMetaModelFactory.doCreateModel","java.util.List getHandlers()",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.saga.repository.jdbc.JdbcSagaStore$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-modelling-4.6.8","Method","org.axonframework.modelling.saga.repository.jpa.JpaSagaStore$Builder.validate","org.axonframework.serialization.xml.XStreamSerializer defaultSerializer()",""
"axon-test-4.6.8","Class","org.axonframework.test.aggregate.StubAggregateLifecycleRule$1","org.axonframework.test.aggregate.StubAggregateLifecycleRule",""
"axon-test-4.6.8","Method","org.axonframework.test.aggregate.TestExecutor.whenTimeAdvancesTo","org.axonframework.test.aggregate.ResultValidator whenThenTimeAdvancesTo(java.time.Instant)",""
"axon-test-4.6.8","Method","org.axonframework.test.aggregate.TestExecutor.whenTimeElapses","org.axonframework.test.aggregate.ResultValidator whenThenTimeElapses(java.time.Duration)",""
"axon-test-4.6.8","Method","org.axonframework.test.saga.FixtureExecutionResultImpl.expectNoScheduledDeadline","org.axonframework.test.matchers.EqualFieldsMatcher equalTo(java.lang.Object,org.axonframework.test.matchers.FieldFilter)",""
