"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_5c_Betweeness_Stream.cypher"
"org.axonframework.messaging.GenericResultMessage",559,6,8,""
"org.axonframework.common.BuilderUtils",553.45,90,3,""
"org.axonframework.commandhandling.CommandCallback",547.3499999999999,34,3,""
"org.axonframework.messaging.RemoteExceptionDescription",545.75,4,1,""
"org.axonframework.config.DefaultConfigurer$1",545.6916666666665,2,1,""
"org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory",517.7166666666667,4,8,""
"org.axonframework.eventsourcing.AbstractSnapshotter",502.66666666666663,4,17,""
"org.axonframework.commandhandling.GenericCommandResultMessage",498.4833333333333,14,4,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$DisruptorRepository",490,1,14,""
"org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor",478.9999999999999,2,31,""
"org.axonframework.config.SagaConfiguration",463.1190476190476,5,5,""
"org.axonframework.messaging.annotation.AnnotatedHandlerInspector$ChainedMessageHandlerInterceptorMember",459.75,1,6,""
"org.axonframework.config.SagaConfigurer$SagaConfigurationImpl",454.5,1,15,""
"org.axonframework.commandhandling.CommandMessage",453.5333333333333,103,1,""
"org.axonframework.eventsourcing.eventstore.AbstractEventStore",452.83333333333337,2,9,""
"org.axonframework.messaging.annotation.ParameterResolver",452.41666666666663,40,1,""
"org.axonframework.modelling.command.AbstractRepository$Builder",452.3333333333333,6,9,""
"org.axonframework.modelling.saga.AbstractSagaManager",451.33333333333326,5,20,""
"org.axonframework.commandhandling.CommandResultMessage",450.3,25,2,""
"org.axonframework.common.AxonConfigurationException",446.16666666666674,78,1,""
"org.axonframework.serialization.SimpleSerializedType",437.3,9,2,""
"org.axonframework.eventhandling.pooled.WorkPackage",432.5,8,17,""
"org.axonframework.config.SagaConfigurer",430,3,9,""
"org.axonframework.disruptor.commandhandling.CommandHandlingEntry",423.8333333333333,9,10,""
"org.axonframework.eventhandling.EventBus",423.5357142857143,32,3,""
"org.axonframework.messaging.MessageDispatchInterceptorSupport",419.10595238095254,8,3,""
"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore",416.5,6,16,""
"org.axonframework.config.LifecycleHandlerInspector",416.1666666666667,2,13,""
"org.axonframework.common.TypeReflectionUtils",414,3,1,""
"org.axonframework.modelling.command.LockingRepository",413.83333333333326,3,16,""
"org.axonframework.messaging.StreamableMessageSource",410.5416666666667,15,3,""
"org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker",409.5,3,20,""
"org.axonframework.modelling.saga.repository.AnnotatedSagaRepository",409.46666666666664,3,16,""
"org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore",405,5,15,""
"org.axonframework.tracing.NoOpSpanFactory",400.40000000000003,14,5,""
"org.axonframework.deadline.GenericDeadlineMessage",399.9,11,6,""
"org.axonframework.commandhandling.GenericCommandMessage",397.8166666666666,6,5,""
"org.axonframework.eventhandling.GenericDomainEventMessage",381.33333333333337,16,6,""
"org.axonframework.queryhandling.QueryGateway",379.21071428571423,3,6,""
"org.axonframework.messaging.responsetypes.ResponseTypes",366,3,5,""
"org.axonframework.eventhandling.SimpleEventHandlerInvoker$Builder",359,4,11,""
"org.axonframework.queryhandling.SimpleQueryBus$1",333,5,1,""
"org.axonframework.config.EventProcessingConfigurer",328.5,3,25,""
"org.axonframework.eventhandling.AnnotationEventHandlerAdapter",326,1,13,""
"org.axonframework.serialization.upcasting.event.InitialEventRepresentation",325.5,2,13,""
"org.axonframework.queryhandling.QueryUpdateEmitter",322.07738095238096,7,6,""
"org.axonframework.tracing.SpanAttributesProvider",318.3166666666666,11,1,""
"org.axonframework.common.lock.PessimisticLockFactory",317.8333333333333,6,7,""
"org.axonframework.messaging.unitofwork.DefaultUnitOfWork",313.1666666666667,16,10,""
"org.axonframework.common.IdentifierFactory",305,11,1,""
"org.axonframework.tracing.SpanFactory",300.1166666666667,56,3,""
"org.axonframework.common.AxonNonTransientException",299.6166666666667,26,1,""
"org.axonframework.commandhandling.gateway.CommandGateway",290.2440476190475,3,5,""
"org.axonframework.deadline.DeadlineManager",288.16071428571433,5,5,""
"org.axonframework.modelling.command.inspection.AnnotatedCommandHandlerInterceptor",287,2,6,""
"org.axonframework.test.matchers.Matchers",286.5,5,17,""
"org.axonframework.commandhandling.SimpleCommandBus$Builder",284.3,5,17,""
"org.axonframework.eventhandling.pooled.Coordinator",283.9166666666667,4,18,""
"org.axonframework.messaging.annotation.ClasspathParameterResolverFactory",283.33333333333337,12,2,""
"org.axonframework.common.TypeReflectionUtils$VarMap",282,3,3,""
"org.axonframework.config.ConfigurerModule",282,1,1,""
"org.axonframework.eventhandling.TrackedEventMessage",281.44523809523815,49,2,""
"org.axonframework.deadline.SimpleDeadlineManager",281.4,4,15,""
"org.axonframework.eventsourcing.eventstore.legacyjpa.EmbeddedEventStore$1",277.5,5,1,""
"org.axonframework.disruptor.commandhandling.CommandHandlerInvoker",274.33333333333337,4,15,""
"org.axonframework.eventsourcing.eventstore.AbstractEventStorageEngine",273.09285714285716,1,18,""
"org.axonframework.messaging.annotation.ClasspathHandlerDefinition",273,13,2,""
"org.axonframework.eventhandling.EventProcessor",268.4023809523809,7,3,""
"org.axonframework.eventhandling.DomainEventMessage",267.3333333333333,57,2,""
"org.axonframework.queryhandling.SimpleQueryUpdateEmitter",267.16666666666663,3,23,""
"org.axonframework.messaging.MessageHandler",266.53809523809525,31,1,""
"org.axonframework.eventsourcing.eventstore.jdbc.JdbcEventStorageEngine",266.25,2,38,""
"org.axonframework.queryhandling.GenericSubscriptionQueryUpdateMessage",264.3333333333333,2,6,""
"org.axonframework.eventsourcing.eventstore.EmbeddedEventStore$1",259,5,1,""
"org.axonframework.modelling.command.AggregateAnnotationCommandHandler$Builder",258,3,13,""
"org.axonframework.eventhandling.AbstractEventBus",256,2,14,""
"org.axonframework.test.saga.SagaTestFixture$1",256,2,1,""
"org.axonframework.messaging.annotation.MultiParameterResolverFactory",253.41666666666666,4,3,""
"org.axonframework.commandhandling.gateway.RetryingCallback",251.45,3,10,""
"org.axonframework.disruptor.commandhandling.FirstLevelCache",244,3,3,""
"org.axonframework.commandhandling.gateway.AbstractCommandGateway",241.58333333333334,3,10,""
"org.axonframework.eventhandling.AbstractEventProcessor$Builder",241.08333333333334,7,11,""
"org.axonframework.messaging.annotation.MultiHandlerDefinition",235.5833333333333,4,7,""
"org.axonframework.config.AggregateConfiguration",234.66666666666669,5,4,""
"org.axonframework.serialization.AbstractXStreamSerializer$Builder",232.66666666666669,3,6,""
"org.axonframework.eventhandling.tokenstore.TokenStore",232.16666666666666,22,5,""
"org.axonframework.modelling.saga.metamodel.AnnotationSagaMetaModelFactory",232,3,9,""
"org.axonframework.eventhandling.AbstractEventBus$Builder",231,7,7,""
"org.axonframework.messaging.unitofwork.BatchingUnitOfWork",228.70000000000002,4,10,""
"org.axonframework.modelling.command.Repository",219.36666666666667,22,2,""
"org.axonframework.serialization.upcasting.event.EventUpcaster",215.9238095238095,16,2,""
"org.axonframework.eventsourcing.eventstore.jpa.JpaEventStorageEngine",214.66666666666669,2,20,""
"org.axonframework.eventhandling.TrackingEventProcessor$Instruction",214.28333333333336,3,5,""
"org.axonframework.disruptor.commandhandling.DisruptorUnitOfWork",212.83333333333331,2,10,""
"org.axonframework.common.stream.BlockingStream",210,14,1,""
"org.axonframework.config.Component",210,5,3,""
"org.axonframework.common.annotation.PriorityAnnotationComparator",202.08333333333334,3,2,""
"org.axonframework.queryhandling.SimpleQueryBus$Builder",198,2,18,""
"org.axonframework.commandhandling.SimpleCommandBus",196.10238095238094,5,24,""
"org.axonframework.eventhandling.StreamingEventProcessor",195.4,2,5,""
"org.axonframework.eventhandling.TrackingEventProcessor$1",195,3,1,""
"org.axonframework.serialization.upcasting.event.IntermediateEventRepresentation",191.75714285714287,12,5,""
"org.axonframework.modelling.saga.AnnotatedSagaManager",183.83333333333334,3,11,""
"org.axonframework.monitoring.NoOpMessageMonitor",182.83333333333331,8,4,""
"org.axonframework.messaging.annotation.MessageHandlingMember",180.66666666666666,61,1,""
"org.axonframework.queryhandling.GenericQueryMessage",176.86666666666667,4,6,""
"org.axonframework.eventsourcing.AbstractSnapshotter$1",176,4,1,""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory$GatewayInvocationHandler",175.5,2,5,""
"org.axonframework.eventsourcing.eventstore.AbstractEventStore$Builder",175,5,6,""
"org.axonframework.modelling.command.GenericJpaRepository",173.91666666666666,2,10,""
"org.axonframework.common.ExceptionUtils",173.5,6,1,""
"org.axonframework.modelling.saga.AbstractSagaManager$Builder",171.83333333333331,3,8,""
"org.axonframework.deadline.AbstractDeadlineManager",171.7,4,7,""
"org.axonframework.modelling.command.LockingRepository$Builder",170.33333333333331,7,8,""
"org.axonframework.eventhandling.GenericTrackedDomainEventMessage",169.33333333333334,5,7,""
"org.axonframework.messaging.HandlerExecutionException",167.55,4,1,""
"org.axonframework.common.annotation.AnnotationUtils",167.16666666666666,19,1,""
"org.axonframework.serialization.upcasting.event.EventUpcasterChain",165,3,3,""
"org.axonframework.eventhandling.EventMessageHandler",164.54285714285714,9,3,""
"org.axonframework.messaging.responsetypes.MultipleInstancesResponseType",163.83333333333331,3,3,""
"org.axonframework.common.IdentifierValidator",163.5,1,1,""
"org.axonframework.messaging.responsetypes.OptionalResponseType",162.83333333333334,2,4,""
"org.axonframework.serialization.ChainingConverter",161.83333333333334,6,3,""
"org.axonframework.commandhandling.gateway.CommandGatewayFactory$DispatchOnInvocationHandler",161.75,2,12,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$1",161,2,1,""
"org.axonframework.disruptor.commandhandling.BlacklistDetectingCallback",159.5,4,7,""
"org.axonframework.commandhandling.gateway.DefaultCommandGateway",156.825,3,12,""
"org.axonframework.modelling.saga.repository.LockingSagaRepository$Builder",156.16666666666669,3,4,""
"org.axonframework.messaging.annotation.HandlerDefinition",155,33,2,""
"org.axonframework.eventhandling.pooled.PooledStreamingEventProcessor$Builder",154,3,17,""
"org.axonframework.test.deadline.StubDeadlineManager",153.58333333333334,5,14,""
"org.axonframework.eventhandling.ListenerInvocationErrorHandler",152.4595238095238,15,2,""
"org.axonframework.messaging.ScopeAware",152.43333333333334,8,2,""
"org.axonframework.test.aggregate.StubAggregateLifecycle",151.5,3,9,""
"org.axonframework.messaging.deadletter.SequencedDeadLetterQueue",150.5,9,5,""
"org.axonframework.messaging.annotation.MessageHandler",150,8,2,""
"org.axonframework.eventsourcing.GenericAggregateFactory",149.16666666666669,3,7,""
"org.axonframework.modelling.command.inspection.AbstractChildEntityDefinition",145,3,16,""
"org.axonframework.eventhandling.pooled.WorkPackage$BatchProcessor",144.95,3,3,""
"org.axonframework.eventhandling.EventUtils",143.93333333333334,2,15,""
"org.axonframework.eventhandling.deadletter.jdbc.DefaultDeadLetterJdbcConverter",143.66666666666666,2,19,""
"org.axonframework.modelling.command.inspection.ChildForwardingCommandMessageHandlingMember",143,1,9,""
"org.axonframework.serialization.ChainedConverter",141,2,6,""
"org.axonframework.disruptor.commandhandling.EventPublisher",134.5,2,14,""
"org.axonframework.common.transaction.NoTransactionManager",133,17,3,""
"org.axonframework.eventhandling.DomainEventData",132.26666666666668,19,1,""
"org.axonframework.modelling.saga.AnnotatedSagaManager$Builder",132,3,10,""
"org.axonframework.test.aggregate.ResultValidatorImpl",132,1,18,""
"org.axonframework.modelling.command.AnnotationCommandTargetResolver",131.91666666666669,4,9,""
"org.axonframework.messaging.annotation.ParameterResolverFactory",129.98333333333335,47,1,""
"org.axonframework.eventhandling.PropagatingErrorHandler",129.16666666666666,3,6,""
"org.axonframework.test.deadline.DeadlineManagerValidator",129,2,8,""
"org.axonframework.eventhandling.deadletter.DeadLetteringEventHandlerInvoker$Builder",128.16666666666666,3,14,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$2",125.99999999999929,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$3",125.99999999999929,1,2,""
"org.axonframework.messaging.unitofwork.RollbackConfigurationType$4",125.99999999999929,1,2,""
"org.axonframework.common.jdbc.UnitOfWorkAwareConnectionProviderWrapper",125,2,14,""
"org.axonframework.messaging.unitofwork.ExecutionResult",124.5,14,1,""
"org.axonframework.eventsourcing.AggregateSnapshotter$1",123.16666666666666,2,1,""
"org.axonframework.config.MessageMonitorFactory",121.66666666666666,5,3,""
"org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine$1",121,2,1,""
"org.axonframework.modelling.command.legacyjpa.GenericJpaRepository",120.25,1,10,""
"org.axonframework.modelling.command.inspection.AnnotatedChildEntity",120,1,7,""
"org.axonframework.eventsourcing.AbstractSnapshotter$Builder",118.5,3,8,""
"org.axonframework.eventsourcing.eventstore.legacyjpa.JpaEventStorageEngine",114.66666666666667,1,20,""
"org.axonframework.eventsourcing.NoSnapshotTriggerDefinition",114,6,4,""
"org.axonframework.eventsourcing.EventSourcingRepository$Builder",111,4,18,""
"org.axonframework.serialization.LazyDeserializingObject",109.38333333333333,6,4,""
"org.axonframework.eventsourcing.AggregateSnapshotter$SnapshotAggregate",108,1,8,""
"org.axonframework.messaging.SubscribableMessageSource",106.60119047619048,5,2,""
"org.axonframework.common.stream.StreamUtils",106,2,2,""
"org.axonframework.eventsourcing.AbstractSnapshotTrigger",106,2,6,""
"org.axonframework.modelling.saga.repository.SagaStore",104.96666666666668,15,3,""
"org.axonframework.eventsourcing.conflictresolution.ConflictResolution",104.5,1,9,""
"org.axonframework.common.lock.DeadlockException",104,2,1,""
"org.axonframework.serialization.GapAwareTrackingTokenConverter",104,1,2,""
"org.axonframework.tracing.LoggingSpanFactory",104,3,8,""
"org.axonframework.eventhandling.deadletter.jpa.EventMessageDeadLetterJpaConverter",103.33333333333334,1,14,""
"org.axonframework.eventhandling.deadletter.legacyjpa.EventMessageDeadLetterJpaConverter",103.33333333333334,1,14,""
"org.axonframework.test.aggregate.AggregateTestFixture$RecordingEventStore",103,1,16,""
"org.axonframework.config.EventProcessingConfigurer$PooledStreamingProcessorConfiguration",102,2,2,""
"org.axonframework.modelling.command.AggregateAnnotationCommandHandler$1",101,2,2,""
"org.axonframework.deadline.SimpleDeadlineManager$1",100,3,1,""
"org.axonframework.test.saga.FixtureExecutionResultImpl",100,1,19,""
"org.axonframework.messaging.annotation.MessageHandlerInterceptorMemberChain",98.96666666666665,12,2,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$Builder",98,1,21,""
"org.axonframework.eventsourcing.SnapshotTrigger",98,10,1,""
"org.axonframework.eventhandling.SimpleEventBus",97.5,3,3,""
"org.axonframework.queryhandling.SubscriptionQueryUpdateMessage",96.16666666666667,10,2,""
"org.axonframework.modelling.saga.repository.jdbc.JdbcSagaStore$Builder",96,1,10,""
"org.axonframework.deadline.SimpleDeadlineManager$DeadlineTask",95,1,20,""
"org.axonframework.eventhandling.AbstractEventProcessor",93.25,3,17,""
"org.axonframework.eventhandling.SubscribingEventProcessor",93,2,13,""
"org.axonframework.test.saga.CommandValidator",90,1,7,""
"org.axonframework.eventhandling.deadletter.jdbc.JdbcSequencedDeadLetterQueue",87,2,24,""
"org.axonframework.eventsourcing.conflictresolution.NoConflictResolver",87,1,4,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$ExceptionHandler",86,1,4,""
"org.axonframework.messaging.DefaultInterceptorChain",85.03333333333333,13,5,""
"org.axonframework.eventhandling.MultiStreamableMessageSource",85,3,9,""
"org.axonframework.modelling.command.inspection.AggregateModel",84.66666666666667,24,1,""
"org.axonframework.modelling.saga.SagaRepository",84.33333333333333,8,2,""
"org.axonframework.eventhandling.deadletter.jdbc.JdbcSequencedDeadLetterQueue$Builder",84,1,15,""
"org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue",84,2,21,""
"org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue",84,2,21,""
"org.axonframework.messaging.annotation.NoMoreInterceptors",83.33333333333334,3,3,""
"org.axonframework.common.lock.PessimisticLockFactory$DisposableLock",83,1,6,""
"org.axonframework.messaging.unitofwork.AbstractUnitOfWork",82.94999999999997,4,8,""
"org.axonframework.messaging.deadletter.DeadLetter",82.16666666666666,25,3,""
"org.axonframework.test.aggregate.AggregateTestFixture$CreationalRepository",82,2,10,""
"org.axonframework.modelling.saga.repository.jpa.JpaSagaStore$Builder",80,2,6,""
"org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore$Builder",80,1,6,""
"org.axonframework.lifecycle.Lifecycle",78.33333333333333,15,2,""
"org.axonframework.messaging.deadletter.EnqueuePolicy",78,6,3,""
"org.axonframework.messaging.annotation.AbstractAnnotatedParameterResolverFactory",77,6,5,""
"org.axonframework.disruptor.commandhandling.DisruptorCommandBus$FailureLoggingCommandCallback",76.58333333333331,2,4,""
"org.axonframework.modelling.command.AggregateLifecycle",76,2,7,""
"org.axonframework.commandhandling.distributed.CommandMessageFilter",75.83333333333333,11,4,""
"org.axonframework.commandhandling.DuplicateCommandHandlerResolution",75.78333333333333,2,4,""
"org.axonframework.test.matchers.DeepEqualsMatcher",74.5,1,5,""
"org.axonframework.eventhandling.TrackingEventProcessor$TrackingSegmentWorker",74,2,9,""
"org.axonframework.eventhandling.deadletter.jpa.JpaSequencedDeadLetterQueue$Builder",74,1,8,""
"org.axonframework.eventhandling.deadletter.legacyjpa.JpaSequencedDeadLetterQueue$Builder",74,1,8,""
"org.axonframework.test.eventscheduler.StubEventScheduler",73,3,7,""
"org.axonframework.common.caching.Cache",72,12,3,""
"org.axonframework.config.EventProcessingConfigurer$DeadLetteringInvokerConfiguration",72,2,2,""
"org.axonframework.modelling.saga.SagaMethodMessageHandlingMember",71,4,7,""
"org.axonframework.eventhandling.pooled.Coordinator$1",70.91666666666667,3,1,""
"org.axonframework.messaging.MessageDecorator",70.91666666666667,5,4,""
"org.axonframework.eventhandling.scheduling.quartz.QuartzEventScheduler$DirectEventJobDataBinder",70,2,9,""
"org.axonframework.test.utils.RecordingCommandBus",68.41666666666666,3,10,""
"org.axonframework.queryhandling.DefaultQueryGateway",68.13333333333333,2,21,""
"org.axonframework.common.transaction.TransactionManager",68,72,1,""
"org.axonframework.config.ConfigurationScopeAwareProvider",66.72142857142856,1,10,""
"org.axonframework.commandhandling.distributed.ConsistentHash",66,3,7,""
"org.axonframework.messaging.annotation.ClasspathHandlerEnhancerDefinition",66,3,2,""
"org.axonframework.modelling.saga.AnnotatedSaga",66,1,13,""
"org.axonframework.eventhandling.ReplayToken",63.75,7,5,""
"org.axonframework.modelling.command.ForwardingMode",63.5,8,2,""
"org.axonframework.modelling.command.CommandTargetResolver",63.08333333333334,10,2,""
"org.axonframework.eventhandling.async.AsynchronousEventProcessingStrategy",63,2,10,""
"org.axonframework.commandhandling.gateway.AbstractCommandGateway$Builder",62.7,7,5,""
"org.axonframework.tracing.NoOpSpanFactory$NoOpSpan",61.5,1,2,""
"org.axonframework.queryhandling.StreamingQueryMessage",61.13333333333333,6,3,""
"org.axonframework.modelling.command.AbstractRepository",60.666666666666664,1,18,""
"org.axonframework.eventsourcing.conflictresolution.DefaultConflictResolver",60.33333333333333,1,7,""
"org.axonframework.modelling.saga.metamodel.SagaModel",60,8,4,""
"org.axonframework.test.saga.FixtureExecutionResult",59,5,3,""
"org.axonframework.eventhandling.tokenstore.UnableToRetrieveIdentifierException",58.916666666666664,4,1,""
"org.axonframework.eventhandling.scheduling.java.SimpleEventScheduler$PublishEventTask",58.5,1,7,""
"org.axonframework.modelling.saga.metamodel.SagaMetaModelFactory",58,3,3,""
"org.axonframework.modelling.command.inspection.EntityModel",57.83333333333333,10,2,""
"org.axonframework.messaging.correlation.CorrelationDataProvider",57.56666666666667,10,1,""
"org.axonframework.eventsourcing.conflictresolution.ConflictDescription",56.666666666666664,3,1,""
"org.axonframework.eventsourcing.CachingEventSourcingRepository",55.666666666666664,1,13,""
"org.axonframework.eventsourcing.conflictresolution.ConflictResolver",55.333333333333336,3,5,""
"org.axonframework.modelling.saga.Saga",55,5,3,""
"org.axonframework.messaging.responsetypes.PublisherResponseType",54.99999999999999,3,4,""
"org.axonframework.modelling.command.RepositoryProvider",54.9,21,1,""
"org.axonframework.deadline.jobrunr.JobRunrDeadlineManager",54.25,1,26,""
"org.axonframework.serialization.SimpleSerializedObject",54.03333333333334,27,4,""
"org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManager",54,1,29,""
"org.axonframework.messaging.interceptors.MessageHandlerInterceptor",53,3,2,""
"org.axonframework.deadline.DeadlineMessage",52.5,29,2,""
"org.axonframework.messaging.responsetypes.AbstractResponseType",52.5,4,4,""
"org.axonframework.modelling.command.inspection.ChildEntityDefinition",52,2,2,""
"org.axonframework.messaging.deadletter.Decisions",51,3,6,""
"org.axonframework.queryhandling.QueryMessage",51,21,2,""
"org.axonframework.eventhandling.ErrorHandler",50.5,9,1,""
"org.axonframework.eventhandling.gateway.AbstractEventGateway",50,1,6,""
"org.axonframework.eventhandling.scheduling.java.SimpleEventScheduler",50,2,10,""
"org.axonframework.test.saga.SagaTestFixture$TransienceValidatingResourceInjector",50,2,2,""
"org.axonframework.messaging.annotation.HandlerEnhancerDefinition",49,19,1,""
"org.axonframework.serialization.AnnotationRevisionResolver",49,3,2,""
"org.axonframework.test.saga.WhenAggregateEventPublisher",49,3,1,""
"org.axonframework.common.AxonTransientException",48.99999999999999,13,1,""
"org.axonframework.modelling.saga.AbstractResourceInjector",48.5,2,3,""
"org.axonframework.eventhandling.tokenstore.jpa.JpaTokenStore",48.25,2,16,""
"org.axonframework.serialization.SerializationException",48,4,1,""
"org.axonframework.test.aggregate.StubAggregateLifecycleRule",48,1,2,""
"org.axonframework.eventsourcing.conflictresolution.ContextAwareConflictExceptionSupplier",47.83333333333333,3,1,""
"org.axonframework.deadline.quartz.QuartzDeadlineManager$Builder",47,1,12,""
"org.axonframework.eventhandling.GapAwareTrackingToken",47,4,3,""
"org.axonframework.eventsourcing.eventstore.BatchingEventStorageEngine$Builder",47,7,8,""
"org.axonframework.eventsourcing.eventstore.jdbc.EventSchema",47,21,2,""
"org.axonframework.disruptor.commandhandling.EventPublisher$1",46.5,2,1,""
"org.axonframework.eventhandling.MultiStreamableMessageSource$Builder",45,3,5,""
"org.axonframework.eventhandling.replay.GenericResetContext",45,1,5,""
"org.axonframework.eventhandling.scheduling.jobrunr.JobRunrEventScheduler",45,1,19,""
"org.axonframework.messaging.interceptors.TransactionManagingInterceptor",44.785714285714285,1,6,""
"org.axonframework.eventhandling.gateway.DefaultEventGateway",44.5,2,4,""
"org.axonframework.queryhandling.QueryHandlerAdapter",43.666666666666664,1,2,""
"org.axonframework.eventsourcing.AggregateFactory",43.5,14,1,""
"org.axonframework.modelling.command.ConflictingAggregateVersionException",43.5,5,1,""
"org.axonframework.queryhandling.QueryBus$1",43.5,1,5,""
"org.axonframework.eventhandling.scheduling.dbscheduler.DbSchedulerEventScheduler",43,1,22,""
"org.axonframework.commandhandling.NoHandlerForCommandException",42.66666666666667,6,2,""
"org.axonframework.commandhandling.distributed.DistributedCommandBus",42.166666666666664,1,29,""
"org.axonframework.common.lock.LockAcquisitionFailedException",42,2,1,""
"org.axonframework.disruptor.commandhandling.CommandHandlingEntry$1",42,2,1,""
"org.axonframework.modelling.saga.AssociationValue",41.66666666666667,30,1,""
"org.axonframework.messaging.annotation.ResultParameterResolverFactory",40.53333333333333,3,6,""
"org.axonframework.modelling.saga.repository.inmemory.InMemorySagaStore",39.599999999999994,4,5,""
"org.axonframework.eventhandling.gateway.EventGateway",38.91071428571427,3,2,""
