"artifactName","fullQualifiedPackageName","packageName","publicTypes","allTypes","relativeVisibility","Source Cypher File: Visibility/Relative_visibility_public_types_to_all_types_per_package.cypher"
"axon-messaging-4.10.0","org.axonframework.common.io","io",1,1,1,""
"axon-test-4.10.0","org.axonframework.test.matchers","matchers",23,24,0.9583333333333334,""
"axon-messaging-4.10.0","org.axonframework.messaging.deadletter","deadletter",18,19,0.9473684210526315,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jdbc","jdbc",13,14,0.9285714285714286,""
"axon-messaging-4.10.0","org.axonframework.commandhandling.distributed","distributed",24,26,0.9230769230769231,""
"axon-messaging-4.10.0","org.axonframework.messaging","messaging",32,35,0.9142857142857143,""
"axon-messaging-4.10.0","org.axonframework.commandhandling","commandhandling",29,32,0.90625,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.jdbc","jdbc",9,10,0.9,""
"axon-modelling-4.10.0","org.axonframework.modelling.command","command",48,54,0.8888888888888888,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.jdbc","jdbc",8,9,0.8888888888888888,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.jpa","jpa",8,9,0.8888888888888888,""
"axon-messaging-4.10.0","org.axonframework.common","common",24,28,0.8571428571428571,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jpa","jpa",6,7,0.8571428571428571,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.jpa","jpa",6,7,0.8571428571428571,""
"axon-messaging-4.10.0","org.axonframework.eventhandling","eventhandling",84,100,0.84,""
"axon-messaging-4.10.0","org.axonframework.common.jdbc","jdbc",15,18,0.8333333333333334,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",5,6,0.8333333333333334,""
"axon-messaging-4.10.0","org.axonframework.monitoring","monitoring",5,6,0.8333333333333334,""
"axon-messaging-4.10.0","org.axonframework.serialization","serialization",28,34,0.8235294117647058,""
"axon-messaging-4.10.0","org.axonframework.queryhandling","queryhandling",39,48,0.8125,""
"axon-test-4.10.0","org.axonframework.test.utils","utils",4,5,0.8,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",11,14,0.7857142857142857,""
"axon-modelling-4.10.0","org.axonframework.modelling.command.inspection","inspection",20,26,0.7692307692307693,""
"axon-messaging-4.10.0","org.axonframework.deadline","deadline",10,13,0.7692307692307693,""
"axon-messaging-4.10.0","org.axonframework.queryhandling.annotation","annotation",3,4,0.75,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.java","java",3,4,0.75,""
"axon-messaging-4.10.0","org.axonframework.common.transaction","transaction",3,4,0.75,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.metamodel","metamodel",3,4,0.75,""
"axon-test-4.10.0","org.axonframework.test.server","server",3,4,0.75,""
"axon-messaging-4.10.0","org.axonframework.messaging.annotation","annotation",40,54,0.7407407407407407,""
"axon-messaging-4.10.0","org.axonframework.tracing","tracing",14,19,0.7368421052631579,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository","repository",11,15,0.7333333333333333,""
"axon-messaging-4.10.0","org.axonframework.common.lock","lock",8,11,0.7272727272727273,""
"axon-messaging-4.10.0","org.axonframework.messaging.unitofwork","unitofwork",10,14,0.7142857142857143,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing","eventsourcing",29,42,0.6904761904761905,""
"axon-configuration-4.10.0","org.axonframework.config","config",28,41,0.6829268292682927,""
"axon-test-4.10.0","org.axonframework.test.saga","saga",14,21,0.6666666666666666,""
"axon-messaging-4.10.0","org.axonframework.common.annotation","annotation",2,3,0.6666666666666666,""
"axon-messaging-4.10.0","org.axonframework.common.stream","stream",2,3,0.6666666666666666,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",2,3,0.6666666666666666,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore","eventstore",19,31,0.6129032258064516,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.async","async",9,15,0.6,""
"axon-messaging-4.10.0","org.axonframework.common.caching","caching",9,15,0.6,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.replay","replay",6,10,0.6,""
"axon-messaging-4.10.0","org.axonframework.deadline.annotation","annotation",3,5,0.6,""
"axon-test-4.10.0","org.axonframework.test","test",3,5,0.6,""
"axon-messaging-4.10.0","org.axonframework.commandhandling.gateway","gateway",19,34,0.5588235294117647,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",5,10,0.5,""
"axon-eventsourcing-4.10.0","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",1,2,0.5,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",1,2,0.5,""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.inmemory","inmemory",1,2,0.5,""
"axon-test-4.10.0","org.axonframework.test.aggregate","aggregate",9,19,0.47368421052631576,""
"axon-disruptor-4.10.0","org.axonframework.disruptor.commandhandling","commandhandling",9,22,0.4090909090909091,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter","deadletter",2,5,0.4,""
"axon-messaging-4.10.0","org.axonframework.eventhandling.pooled","pooled",3,22,0.13636363636363635,""
