"externalSecondLevelPackageName","numberOfArtifacts","sumNumberOfPackages","minNumberOfPackages","maxNumberOfPackages","medNumberOfPackages","avgNumberOfPackages","stdNumberOfPackages","minNumberOfPackagesPercentage","maxNumberOfPackagesPercentage","medNumberOfPackagesPercentage","avgNumberOfPackagesPercentage","stdNumberOfPackagesPercentage","sumNumberOfTypes","minNumberOfTypes","maxNumberOfTypes","medNumberOfTypes","avgNumberOfTypes","stdNumberOfTypes","minNumberOfTypesPercentage","maxNumberOfTypesPercentage","medNumberOfTypesPercentage","avgNumberOfTypesPercentage","stdNumberOfTypesPercentage","someArtifactNames","Source Cypher File: External_Dependencies/External_second_level_package_usage_spread.cypher"
"org.dom4j",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,3,3,3,3,3,0,0.39370078740157477,0.39370078740157477,0.39370078740157477,0.39370078740157477,0,"axon-messaging-4.8.2",""
"org.ehcache",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,3,3,3,3,3,0,0.39370078740157477,0.39370078740157477,0.39370078740157477,0.39370078740157477,0,"axon-messaging-4.8.2",""
"org.hamcrest",1,5,5,5,5,5,0,62.5,62.5,62.5,62.5,0,27,27,27,27,27,0,31.034482758620687,31.034482758620687,31.034482758620687,31.034482758620687,0,"axon-test-4.8.2",""
"org.jobrunr",1,2,2,2,2,2,0,3.125,3.125,3.125,3.125,0,4,4,4,4,4,0,0.5249343832020997,0.5249343832020997,0.5249343832020997,0.5249343832020997,0,"axon-messaging-4.8.2",""
"org.junit",1,2,2,2,2,2,0,25,25,25,25,0,4,4,4,4,4,0,4.597701149425287,4.597701149425287,4.597701149425287,4.597701149425287,0,"axon-test-4.8.2",""
"org.quartz",1,2,2,2,2,2,0,3.125,3.125,3.125,3.125,0,9,9,9,9,9,0,1.1811023622047243,1.1811023622047243,1.1811023622047243,1.1811023622047243,0,"axon-messaging-4.8.2",""
"org.reactivestreams",1,2,2,2,2,2,0,3.125,3.125,3.125,3.125,0,13,13,13,13,13,0,1.7060367454068242,1.7060367454068242,1.7060367454068242,1.7060367454068242,0,"axon-messaging-4.8.2",""
"org.testcontainers",1,1,1,1,1,1,0,12.5,12.5,12.5,12.5,0,3,3,3,3,3,0,3.4482758620689653,3.4482758620689653,3.4482758620689653,3.4482758620689653,0,"axon-test-4.8.2",""
"reactor.core",1,2,2,2,2,2,0,3.125,3.125,3.125,3.125,0,18,18,18,18,18,0,2.3622047244094486,2.3622047244094486,2.3622047244094486,2.3622047244094486,0,"axon-messaging-4.8.2",""
"reactor.util",1,1,1,1,1,1,0,1.5625,1.5625,1.5625,1.5625,0,4,4,4,4,4,0,0.5249343832020997,0.5249343832020997,0.5249343832020997,0.5249343832020997,0,"axon-messaging-4.8.2",""
