"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: Path_Finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-modelling-4.10.3",,,false,,,2,1567,99,86,4,4,1,"/org/axonframework/modelling/saga/repository/inmemory -> /org/axonframework/modelling/saga/metamodel,/org/axonframework/modelling/saga/repository/jdbc -> /org/axonframework/modelling/saga/metamodel,/org/axonframework/modelling/saga/repository/legacyjpa -> /org/axonframework/modelling/saga/metamodel,/org/axonframework/modelling/saga/repository/jpa -> /org/axonframework/modelling/saga/metamodel","axon-modelling-4.10.3 -> axon-modelling-4.10.3","",""
"axon-modelling-4.10.3",,,true,,,1,746,108,101,53,9,18,"/org/axonframework/modelling/command -> /org/axonframework/commandhandling,/org/axonframework/modelling/command/inspection -> /org/axonframework/commandhandling,/org/axonframework/modelling/command -> /org/axonframework/common,/org/axonframework/modelling/command/inspection -> /org/axonframework/common","axon-modelling-4.10.3 -> axon-messaging-4.10.3","",""
"axon-modelling-4.10.3",,,true,,,2,1567,99,86,146,10,28,"/org/axonframework/modelling/command/legacyjpa -> /org/axonframework/commandhandling,/org/axonframework/modelling/saga -> /org/axonframework/commandhandling,/org/axonframework/modelling/saga/repository/jdbc -> /org/axonframework/commandhandling,/org/axonframework/modelling/saga/repository/legacyjpa -> /org/axonframework/commandhandling","axon-modelling-4.10.3 -> axon-messaging-4.10.3","",""
"axon-modelling-4.10.3",,,true,,,3,1127,95,60,88,10,20,"/org/axonframework/modelling/saga/metamodel -> /org/axonframework/commandhandling,/org/axonframework/modelling/saga/repository -> /org/axonframework/commandhandling,/org/axonframework/modelling/saga/repository/inmemory -> /org/axonframework/commandhandling,/org/axonframework/modelling/command/legacyjpa -> /org/axonframework/commandhandling/callbacks","axon-modelling-4.10.3 -> axon-messaging-4.10.3","",""
"axon-modelling-4.10.3",,,true,,,4,201,60,21,18,7,5,"/org/axonframework/modelling/saga/metamodel -> /org/axonframework/commandhandling/callbacks,/org/axonframework/modelling/saga/repository -> /org/axonframework/commandhandling/callbacks,/org/axonframework/modelling/saga/repository/inmemory -> /org/axonframework/commandhandling/callbacks,/org/axonframework/modelling/command/inspection -> /org/axonframework/messaging/responsetypes","axon-modelling-4.10.3 -> axon-messaging-4.10.3","",""
"axon-server-connector-4.10.3",,,false,,,1,746,108,101,28,11,9,"/org/axonframework/axonserver/connector/util -> /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/heartbeat -> /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/heartbeat/source -> /org/axonframework/axonserver/connector,/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/axonserver/connector","axon-server-connector-4.10.3 -> axon-server-connector-4.10.3","",""
"axon-server-connector-4.10.3",,,false,,,2,1567,99,86,38,11,7,"/org/axonframework/axonserver/connector/heartbeat/source -> /org/axonframework/axonserver/connector/util,/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/axonserver/connector/util,/org/axonframework/axonserver/connector/processor -> /org/axonframework/axonserver/connector/util,/org/axonframework/axonserver/connector/event/util -> /org/axonframework/axonserver/connector/util","axon-server-connector-4.10.3 -> axon-server-connector-4.10.3","",""
"axon-server-connector-4.10.3",,,false,,,3,1127,95,60,16,10,2,"/org/axonframework/axonserver/connector/util -> /org/axonframework/axonserver/connector/query/subscription,/org/axonframework/axonserver/connector/heartbeat -> /org/axonframework/axonserver/connector/query/subscription,/org/axonframework/axonserver/connector/heartbeat/source -> /org/axonframework/axonserver/connector/query/subscription,/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/axonserver/connector/query/subscription","axon-server-connector-4.10.3 -> axon-server-connector-4.10.3","",""
"axon-server-connector-4.10.3",,,true,,,1,746,108,101,65,8,30,"/org/axonframework/axonserver/connector -> /org/axonframework/config,/org/axonframework/axonserver/connector/heartbeat -> /org/axonframework/config,/org/axonframework/axonserver/connector/processor -> /org/axonframework/config,/org/axonframework/axonserver/connector/event/axon -> /org/axonframework/config","axon-server-connector-4.10.3 -> axon-configuration-4.10.3,axon-server-connector-4.10.3 -> axon-eventsourcing-4.10.3,axon-server-connector-4.10.3 -> axon-modelling-4.10.3,axon-server-connector-4.10.3 -> axon-messaging-4.10.3","",""
"axon-server-connector-4.10.3",,,true,,,2,1567,99,86,279,11,59,"/org/axonframework/axonserver/connector/util -> /org/axonframework/config,/org/axonframework/axonserver/connector/heartbeat/source -> /org/axonframework/config,/org/axonframework/axonserver/connector/heartbeat/connection/checker -> /org/axonframework/config,/org/axonframework/axonserver/connector/query -> /org/axonframework/config","axon-server-connector-4.10.3 -> axon-configuration-4.10.3,axon-server-connector-4.10.3 -> axon-eventsourcing-4.10.3,axon-server-connector-4.10.3 -> axon-modelling-4.10.3,axon-server-connector-4.10.3 -> axon-disruptor-4.10.3","",""
