"codeUnitName","shortCodeUnitName","centralityHyperlinkInducedTopicSearchAuthority","centralityHyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_9d_Hyperlink_Induced_Topic_Search_HITS_Stream_Mutated.cypher"
"org.axonframework.axonserver.connector.query.subscription","subscription",0.0066075545609818745,0.09801075130852789,8,238,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.006592588293874307,0.06691328798285812,30,80,""
"org.axonframework.serialization.upcasting","upcasting",0.005446919039131364,0,11,5,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.005169002425935922,0.11143860457498211,11,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.005169002425935922,0.07535168675288885,4,106,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.005169002425935922,0.13099875776309058,26,389,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.005169002425935922,0.06276574620018052,5,81,""
"org.axonframework.springboot.autoconfig","autoconfig",0.005169002425935922,0.27541827004138086,54,5721,""
"org.axonframework.springboot.util.legacyjpa","legacyjpa",0.005169002425935922,0.0020308499765162,1,1,""
"org.axonframework.axonserver.connector.heartbeat","heartbeat",0.0004216124539521255,0.01914668800353792,5,34,""
"org.axonframework.actuator","actuator",0.00021003224980803453,0,2,0,""
"org.axonframework.test.server","server",3.470667584343364e-49,0.029937804439147325,3,2,""
"org.axonframework.axonserver.connector.heartbeat.connection.checker","checker",0,0.0034854341054843096,1,5,""
"org.axonframework.axonserver.connector.heartbeat.source","source",0,0.0034854341054843096,0,2,""
"org.axonframework.deadline.annotation","annotation",0,0.040897697359818234,6,29,""
"org.axonframework.deadline.quartz","quartz",0,0.13260762806922807,5,453,""
"org.axonframework.eventhandling.interceptors","interceptors",0,0.05954227097102395,0,28,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0,0.1396136735530992,10,202,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,0.04259953643704486,1,75,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,0.0695448521178573,1,27,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0,0.08711933530056987,2,164,""
"org.axonframework.serialization.converters","converters",0,0.01578798426046146,0,7,""
"org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa",0,0.08546340212583069,1,297,""
"org.axonframework.test.aggregate","aggregate",0,0.1441898524611939,31,2210,""
"org.axonframework.test.saga","saga",0,0.13158060906460411,43,1419,""
