"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: Effective_lines_of_method_code_per_type.cypher"
"axon-modelling-4.7.5","org.axonframework.modelling.command.legacyjpa","GenericJpaRepository$Builder",55,5,"<init>",1,"spanFactory",""
"axon-messaging-4.7.5","org.axonframework.serialization.json","JacksonSerializer",55,12,"deserialize",9,"deserialize",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","TrackingEventProcessorConfiguration",53,12,"<init>",2,"andBatchSize",""
"axon-test-4.7.5","org.axonframework.test.saga","CommandValidator",53,29,"assertDispatchedEqualTo",9,"assertDispatchedEqualTo",""
"axon-messaging-4.7.5","org.axonframework.commandhandling.distributed","ReplyMessage",52,13,"<init>",12,"equals",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","TrackingEventProcessor$Builder",52,7,"validate",3,"transactionManager",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","AbstractEventProcessor",52,11,"<init>",4,"lambda$null$1",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.async","AsynchronousEventProcessingStrategy",52,11,"assignEventsToScheduler",4,"assignEventsToScheduler",""
"axon-messaging-4.7.5","org.axonframework.serialization","ChainingConverter",52,11,"registerConverter",5,"canConvert",""
"axon-messaging-4.7.5","org.axonframework.messaging","GenericResultMessage",51,13,"describeTo",3,"getPayload",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing","AbstractSnapshotter",50,20,"doScheduleSnapshot",8,"doScheduleSnapshot",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","SimpleEventHandlerInvoker",50,9,"<init>",3,"canHandle",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.jpa","EventMessageDeadLetterJpaConverter",50,21,"convert",5,"canConvert",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.legacyjpa","EventMessageDeadLetterJpaConverter",50,21,"convert",5,"canConvert",""
"axon-messaging-4.7.5","org.axonframework.serialization","AbstractXStreamSerializer",50,22,"<init>",4,"typeForClass",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","DisruptorCommandBus$DisruptorRepository",50,22,"send",7,"send",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing","EventSourcingRepository",49,11,"doLoadWithLock",5,"doLoadWithLock",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore","AbstractEventStorageEngine",49,13,"buildExceptionMessage",7,"handlePersistenceException",""
"axon-messaging-4.7.5","org.axonframework.messaging.responsetypes","AbstractResponseType",49,11,"isParameterizedTypeOfExpectedType",7,"isParameterizedTypeOfExpectedType",""
"axon-messaging-4.7.5","org.axonframework.messaging.responsetypes","MultipleInstancesResponseType",48,17,"convert",10,"convert",""
"axon-messaging-4.7.5","org.axonframework.queryhandling","GenericQueryResponseMessage",48,12,"asNullableResponseMessage",5,"asNullableResponseMessage",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","CommandHandlingEntry",48,10,"reset",4,"registerAggregateIdentifier",""
"axon-messaging-4.7.5","org.axonframework.deadline","SimpleDeadlineManager$DeadlineTask",47,24,"run",6,"run",""
"axon-messaging-4.7.5","org.axonframework.deadline.quartz","DeadlineJob$DeadlineJobDataBinder",47,12,"putDeadlineMessage",2,"retrieveDeadlineTimestamp",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore","EmbeddedEventStore$Builder",46,7,"<init>",3,"fetchEventConsumptionSystemPropertyOrDefault",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore","AbstractEventStore",46,13,"readEvents",4,"readEvents",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.legacyjpa","EmbeddedEventStore$Builder",46,7,"<init>",3,"fetchEventConsumptionSystemPropertyOrDefault",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter.jpa","DeadLetterEntry",46,13,"<init>",4,"equals",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository","CachingSagaStore",45,6,"loadSaga",3,"loadSaga",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","AnnotationEventHandlerAdapter",45,11,"prepareReset",4,"prepareReset",""
"axon-messaging-4.7.5","org.axonframework.commandhandling","AnnotationCommandHandlerAdapter",44,8,"handle",1,"lambda$subscribe$1",""
"axon-messaging-4.7.5","org.axonframework.common.lock","PessimisticLockFactory$DisposableLock",44,18,"lock",10,"lock",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","GenericDomainEventMessage",44,8,"describeTo",4,"andMetaData",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.deadletter","DeadLetteringEventHandlerInvoker",44,21,"handle",8,"handle",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.pooled","MergeTask",44,12,"task",3,"mergeSegments",""
"axon-messaging-4.7.5","org.axonframework.tracing","Span",44,9,"run",5,"run",""
"axon-modelling-4.7.5","org.axonframework.modelling.command.inspection","ChildForwardingCommandMessageHandlingMember",43,15,"handle",4,"handle",""
"axon-messaging-4.7.5","org.axonframework.common.jdbc","UnitOfWorkAwareConnectionProviderWrapper",43,13,"getConnection",7,"lambda$getConnection$2",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.async","EventProcessorTask",43,10,"yield",5,"run",""
"axon-messaging-4.7.5","org.axonframework.messaging.unitofwork","DefaultUnitOfWork",43,21,"executeWithResult",9,"executeWithResult",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing","AggregateSnapshotter$Builder",42,5,"buildParameterResolverFactory",3,"buildParameterResolverFactory",""
"axon-modelling-4.7.5","org.axonframework.modelling.command","GenericJpaRepository",42,13,"doLoadWithLock",4,"doLoadWithLock",""
"axon-modelling-4.7.5","org.axonframework.modelling.command","AggregateAnnotationCommandHandler$Builder",42,6,"validate",3,"inspectAggregateModel",""
"axon-modelling-4.7.5","org.axonframework.modelling.command.legacyjpa","GenericJpaRepository",42,13,"doLoadWithLock",4,"doLoadWithLock",""
"axon-messaging-4.7.5","org.axonframework.commandhandling.distributed","DispatchMessage",42,12,"equals",11,"equals",""
"axon-messaging-4.7.5","org.axonframework.common.lock","PessimisticLockFactory",42,9,"obtainLock",3,"obtainLock",""
"axon-messaging-4.7.5","org.axonframework.serialization","JavaSerializer",42,13,"deserialize",6,"deserialize",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga","AbstractResourceInjector",41,8,"injectMethodResource",3,"injectMethodResource",""
"axon-configuration-4.7.5","org.axonframework.config","DefaultConfigurer$ConfigurationImpl",41,6,"onShutdown",4,"isEarlierPhaseDuringStartUp",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.pooled","WorkPackage$Builder",41,4,"<init>",1,"access$700",""
"axon-messaging-4.7.5","org.axonframework.messaging.annotation","HandlerComparator",41,12,"depthOf",5,"depthOf",""
"axon-test-4.7.5","org.axonframework.test.eventscheduler","EventSchedulerValidator",41,10,"describe",5,"assertScheduledEventMatching",""
"axon-modelling-4.7.5","org.axonframework.modelling.command","AnnotationCommandTargetResolver",40,13,"resolveTarget",9,"resolveTarget",""
"axon-modelling-4.7.5","org.axonframework.modelling.saga.repository","AnnotatedSagaRepository$Builder",40,6,"inspectSagaModel",5,"inspectSagaModel",""
"axon-messaging-4.7.5","org.axonframework.deadline.jobrunr","DeadlineDetails",40,12,"serialized",1,"serialized",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore","AbstractTokenEntry",40,7,"<init>",4,"mayClaim",""
"axon-messaging-4.7.5","org.axonframework.commandhandling.distributed","AnnotationRoutingStrategy",39,10,"createResolver",5,"doResolveRoutingKey",""
"axon-messaging-4.7.5","org.axonframework.commandhandling.gateway","DefaultCommandGateway",39,7,"lambda$send$0",4,"asRuntime",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","SubscribingEventProcessor$Builder",39,5,"<init>",1,"errorHandler",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.inmemory","InMemoryTokenStore",39,6,"fetchToken",4,"fetchToken",""
"axon-messaging-4.7.5","org.axonframework.messaging.unitofwork","MessageProcessingContext",39,11,"notifyHandlers",6,"notifyHandlers",""
"axon-test-4.7.5","org.axonframework.test.eventscheduler","StubEventScheduler",39,6,"advanceToNextTrigger",4,"advanceTimeTo",""
"axon-modelling-4.7.5","org.axonframework.modelling.command.inspection","AbstractChildEntityDefinition",38,10,"extractCommandHandlerRoutingKey",5,"extractCommandHandlerRoutingKey",""
"axon-messaging-4.7.5","org.axonframework.common.jdbc","ConnectionWrapperFactory",38,16,"lambda$wrap$0",12,"lambda$wrap$0",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.scheduling.quartz","QuartzEventScheduler$DirectEventJobDataBinder",38,13,"toJobData",2,"retrieveDeadlineTimestamp",""
"axon-messaging-4.7.5","org.axonframework.eventhandling.tokenstore.jpa","TokenEntry",38,9,"<init>",4,"mayClaim",""
"axon-messaging-4.7.5","org.axonframework.queryhandling.annotation","AnnotationQueryHandlerAdapter",38,7,"subscribe",1,"handle",""
"axon-disruptor-4.7.5","org.axonframework.disruptor.commandhandling","CommandHandlerInvoker",38,11,"onEvent",4,"onEvent",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing","CachingEventSourcingRepository",37,10,"doLoadWithLock",5,"doLoadWithLock",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore","ConcatenatingDomainEventStream",37,16,"hasNext",13,"hasNext",""
"axon-eventsourcing-4.7.5","org.axonframework.eventsourcing.eventstore.jdbc","Oracle11EventTableFactory",37,20,"createDomainEventTable",3,"createDomainEventTable",""
"axon-modelling-4.7.5","org.axonframework.modelling.command","AbstractRepository$Builder",37,5,"validate",5,"inspectAggregateModel",""
"axon-messaging-4.7.5","org.axonframework.eventhandling","MultiStreamableMessageSource",37,5,"openStream",4,"openStream",""
