"artifactName","annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Java/Annotated_code_elements_per_artifact.cypher"
"axon-messaging-4.9.3","javax.annotation.Nonnull","Parameter",1113,"org.axonframework.commandhandling.AsynchronousCommandBus$Builder.transactionManager(0),org.axonframework.commandhandling.AsynchronousCommandBus$Builder.messageMonitor(0),org.axonframework.commandhandling.AsynchronousCommandBus$Builder.rollbackConfiguration(0),org.axonframework.commandhandling.AsynchronousCommandBus$Builder.defaultCommandCallback(0),org.axonframework.commandhandling.AsynchronousCommandBus$Builder.duplicateCommandHandlerResolver(0),org.axonframework.commandhandling.AsynchronousCommandBus$Builder.spanFactory(0),org.axonframework.commandhandling.CommandBus.dispatch(0),org.axonframework.commandhandling.CommandBus.dispatch(1),org.axonframework.commandhandling.CommandBus.subscribe(0)",""
"axon-messaging-4.9.3","javax.annotation.Nullable","Parameter",55,"org.axonframework.commandhandling.GenericCommandResultMessage.<init>(0),org.axonframework.commandhandling.GenericCommandResultMessage.<init>(1),org.axonframework.commandhandling.MonitorAwareCallback.<init>(0),org.axonframework.deadline.DeadlineManager.schedule(2),org.axonframework.deadline.GenericDeadlineMessage.asDeadlineMessage(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(1),org.axonframework.deadline.GenericDeadlineMessage.<init>(2),org.axonframework.deadline.dbscheduler.DbSchedulerBinaryDeadlineDetails.<init>(3),org.axonframework.deadline.dbscheduler.DbSchedulerBinaryDeadlineDetails.<init>(4)",""
"axon-messaging-4.9.3","java.lang.Deprecated","Method",37,"org.axonframework.commandhandling.SimpleCommandBus$Builder.spanFactory,org.axonframework.commandhandling.distributed.DistributedCommandBus$Builder.spanFactory,org.axonframework.deadline.GenericDeadlineMessage.asDeadlineMessage,org.axonframework.deadline.SimpleDeadlineManager$Builder.spanFactory,org.axonframework.deadline.dbscheduler.DbSchedulerDeadlineManager$Builder.spanFactory,org.axonframework.deadline.jobrunr.JobRunrDeadlineManager$Builder.spanFactory,org.axonframework.deadline.jobrunr.JobRunrDeadlineManager.execute,org.axonframework.deadline.quartz.QuartzDeadlineManager$Builder.spanFactory,org.axonframework.eventhandling.AbstractEventBus$Builder.spanFactory",""
"axon-messaging-4.9.3","javax.persistence.Basic","Field",31,"org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber,org.axonframework.eventhandling.AbstractEventEntry.timeStamp,org.axonframework.eventhandling.AbstractEventEntry.payloadType,org.axonframework.eventhandling.AbstractEventEntry.payloadRevision,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.processingGroup",""
"axon-messaging-4.9.3","com.fasterxml.jackson.annotation.JsonProperty","Parameter",28,"org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.AndCommandMessageFilter.<init>(1),org.axonframework.commandhandling.distributed.commandfilter.CommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.DenyCommandNameFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.NegateCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.<init>(0),org.axonframework.commandhandling.distributed.commandfilter.OrCommandMessageFilter.<init>(1),org.axonframework.eventhandling.GapAwareTrackingToken.<init>(0),org.axonframework.eventhandling.GapAwareTrackingToken.<init>(1)",""
"axon-messaging-4.9.3","jakarta.persistence.Basic","Field",27,"org.axonframework.eventhandling.AbstractDomainEventEntry.type,org.axonframework.eventhandling.AbstractDomainEventEntry.aggregateIdentifier,org.axonframework.eventhandling.AbstractDomainEventEntry.sequenceNumber,org.axonframework.eventhandling.AbstractEventEntry.timeStamp,org.axonframework.eventhandling.AbstractEventEntry.payloadType,org.axonframework.eventhandling.AbstractEventEntry.payloadRevision,org.axonframework.eventhandling.AbstractEventEntry.payload,org.axonframework.eventhandling.AbstractEventEntry.metaData,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry.processingGroup",""
"axon-messaging-4.9.3","java.lang.annotation.Retention","Annotation",26,"org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.common.Priority,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch,org.axonframework.eventhandling.DisallowReplay,org.axonframework.eventhandling.EventHandler",""
"axon-messaging-4.9.3","java.lang.annotation.Target","Annotation",26,"org.axonframework.commandhandling.CommandHandler,org.axonframework.commandhandling.RoutingKey,org.axonframework.commandhandling.gateway.Timeout,org.axonframework.common.Priority,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.AllowReplay,org.axonframework.eventhandling.ConcludesBatch,org.axonframework.eventhandling.DisallowReplay,org.axonframework.eventhandling.EventHandler",""
"axon-messaging-4.9.3","java.lang.FunctionalInterface","Interface",25,"org.axonframework.commandhandling.CommandCallback,org.axonframework.commandhandling.DuplicateCommandHandlerResolver,org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.commandhandling.distributed.ConsistentHashChangeListener,org.axonframework.common.Registration,org.axonframework.common.jdbc.ConnectionProvider,org.axonframework.common.jdbc.JdbcUtils$SqlFunction,org.axonframework.common.jdbc.JdbcUtils$SqlResultConverter,org.axonframework.common.jdbc.PagingJdbcIterable$PagingStatementSupplier",""
"axon-messaging-4.9.3","javax.annotation.Nonnull","Method",22,"org.axonframework.commandhandling.gateway.DefaultCommandGateway.registerDispatchInterceptor,org.axonframework.eventhandling.GenericEventMessage.getTimestamp,org.axonframework.eventhandling.MultiEventHandlerInvoker.delegates,org.axonframework.eventhandling.interceptors.EventLoggingInterceptor.handle,org.axonframework.eventhandling.replay.ReplayAwareMessageHandlerWrapper.wrapHandler,org.axonframework.messaging.MessageDispatchInterceptor.handle,org.axonframework.messaging.annotation.MessageHandlerInterceptorDefinition.wrapHandler,org.axonframework.messaging.interceptors.BeanValidationInterceptor.handle,org.axonframework.messaging.interceptors.LoggingInterceptor.handle",""
