"artifactName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Set_Outgoing_Package_Dependencies.cypher"
"axon-messaging-4.9.3","org.axonframework.deadline",338,1340,46,22,8,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.legacyjpa",330,2651,36,15,9,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jpa",317,2185,39,15,8,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.annotation",301,1126,67,13,7,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jpa",236,1300,32,11,11,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository",231,1545,36,14,8,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.dbscheduler",214,1267,27,11,9,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.jobrunr",209,836,23,11,10,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.quartz",202,698,27,12,10,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.annotation",199,790,22,13,6,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jdbc",195,2299,28,9,6,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting.event",188,735,26,11,6,0,""
"axon-messaging-4.9.3","org.axonframework.serialization",176,625,46,7,9,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.legacyjpa",164,791,20,11,9,1,""
"axon-test-4.9.3","org.axonframework.test.deadline",138,711,20,11,7,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jdbc",136,1103,25,8,8,1,""
"axon-messaging-4.9.3","org.axonframework.messaging",133,406,35,15,6,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.unitofwork",123,655,20,7,5,0,""
"axon-messaging-4.9.3","org.axonframework.tracing",122,817,27,12,9,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jpa",119,678,21,6,6,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors",119,366,14,8,7,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.legacyjpa",106,819,20,6,7,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.deadletter",105,380,23,8,5,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.conflictresolution",99,315,18,13,9,2,""
"axon-messaging-4.9.3","org.axonframework.serialization.json",87,331,24,6,4,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jpa",86,444,18,7,7,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.legacyjpa",81,471,17,6,8,1,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc.statements",80,775,9,6,5,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async",76,347,20,7,5,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.java",76,231,19,8,8,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.inmemory",75,646,11,7,4,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay",72,150,22,8,5,0,""
"axon-test-4.9.3","org.axonframework.test.utils",70,372,12,8,5,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel",67,255,15,7,4,1,""
"axon-messaging-4.9.3","org.axonframework.messaging.responsetypes",65,243,17,6,6,0,""
"axon-messaging-4.9.3","org.axonframework.common.jdbc",56,270,22,8,5,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.gateway",52,209,12,5,4,0,""
"axon-test-4.9.3","org.axonframework.test.matchers",51,111,25,4,6,1,""
"axon-messaging-4.9.3","org.axonframework.common.caching",49,183,14,3,2,0,""
"axon-messaging-4.9.3","org.axonframework.tracing.attributes",43,93,6,5,5,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore",42,202,13,4,4,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.callbacks",39,141,4,3,1,0,""
"axon-test-4.9.3","org.axonframework.test.eventscheduler",38,146,10,5,5,1,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter",34,172,7,2,3,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.annotation",29,95,11,5,4,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.interceptors",28,100,7,4,3,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.xml",28,98,17,4,4,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors.legacyvalidation",27,69,7,5,4,0,""
"axon-messaging-4.9.3","org.axonframework.common.lock",25,93,12,2,2,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.inmemory",25,129,9,3,5,0,""
"axon-messaging-4.9.3","org.axonframework.common",23,53,15,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.monitoring",21,65,7,3,3,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.snapshotting",17,54,7,4,4,1,""
"axon-messaging-4.9.3","org.axonframework.common.property",15,28,8,1,2,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.inmemory",15,61,5,3,3,0,""
"axon-messaging-4.9.3","org.axonframework.messaging.correlation",14,40,3,2,2,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration",13,35,7,2,4,0,""
"axon-test-4.9.3","org.axonframework.test",13,24,7,3,4,1,""
"axon-messaging-4.9.3","org.axonframework.lifecycle",10,27,7,0,3,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.converters",7,9,2,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.jpa",6,18,5,2,3,0,""
"axon-messaging-4.9.3","org.axonframework.common.legacyjpa",6,18,5,2,3,0,""
"axon-messaging-4.9.3","org.axonframework.common.transaction",6,16,4,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.util",6,7,6,0,6,0,""
"axon-messaging-4.9.3","org.axonframework.common.stream",5,11,3,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting",5,14,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.annotation",3,4,3,0,2,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling",2,12,2,0,2,0,""
"axon-test-4.9.3","org.axonframework.test.server",2,3,2,0,2,1,""
"axon-messaging-4.9.3","org.axonframework.common.digest",1,4,1,0,1,0,""
"axon-disruptor-4.9.3","org",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org",0,0,0,0,0,-1,""
"axon-configuration-4.9.3","org",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org",0,0,0,0,0,-1,""
"axon-test-4.9.3","org",0,0,0,0,0,-1,""
"axon-eventsourcing-4.9.3","org",0,0,0,0,0,-1,""
"axon-disruptor-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-configuration-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-test-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-eventsourcing-4.9.3","org.axonframework",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.common.io",0,0,0,0,0,-1,""
"axon-disruptor-4.9.3","org.axonframework.disruptor",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org.axonframework.modelling",0,0,0,0,0,-1,""
