"artifactName","packageName","incomingDependencies","incomingDependenciesWeight","incomingDependentTypes","incomingDependentInterfaces","incomingDependentPackages","incomingDependentArtifacts","Source Cypher File: Metrics/Set_Incoming_Package_Dependencies_Including_Subpackages.cypher"
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.snapshotting",20,71,9,2,5,1,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting",18,88,12,3,7,2,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting.event",18,88,12,3,7,2,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.gateway",13,43,6,1,2,1,""
"axon-messaging-4.9.3","org.axonframework.common.jpa",13,80,12,0,6,3,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.async",12,42,5,2,2,1,""
"axon-messaging-4.9.3","org.axonframework.common.caching",11,59,9,0,4,3,""
"axon-messaging-4.9.3","org.axonframework.common.legacyjpa",11,58,10,0,5,2,""
"axon-messaging-4.9.3","org.axonframework.common.io",10,21,10,0,8,1,""
"axon-messaging-4.9.3","org.axonframework.common.property",10,25,6,0,4,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jpa",9,118,4,2,1,0,""
"axon-messaging-4.9.3","org.axonframework.serialization.xml",9,12,8,0,7,3,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.callbacks",8,24,7,0,4,1,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors",7,12,6,0,4,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.metamodel",7,47,5,1,2,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed.commandfilter",6,12,2,1,1,0,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jpa",6,39,3,0,3,1,""
"axon-test-4.9.3","org.axonframework.test.deadline",6,48,4,0,2,0,""
"axon-test-4.9.3","org.axonframework.test.utils",5,17,4,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.gateway",4,12,2,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling",4,9,3,2,2,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jpa",4,60,2,0,2,1,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jpa",4,16,2,0,2,1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.inmemory",4,13,4,0,2,1,""
"axon-messaging-4.9.3","org.axonframework.util",4,12,4,0,3,1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter",3,29,2,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.pooled",3,31,2,1,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay",3,5,2,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration",3,7,2,0,1,0,""
"axon-test-4.9.3","org.axonframework.test.eventscheduler",3,19,2,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.common.digest",2,2,2,0,2,0,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.conflictresolution",2,7,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.deadline.jobrunr",1,1,1,0,1,0,""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling",1,7,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.inmemory",1,1,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.annotation",1,3,1,0,1,0,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.distributed",0,0,0,0,0,-1,""
"axon-configuration-4.9.3","org.axonframework.config",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.deadline.annotation",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.deadline.dbscheduler",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.deadline.quartz",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jdbc",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.legacyjpa",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.interceptors",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.dbscheduler",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.java",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.jobrunr",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.quartz",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jdbc",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.legacyjpa",0,0,0,0,0,-1,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.inmemory",0,0,0,0,0,-1,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc",0,0,0,0,0,-1,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.legacyjpa",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors.legacyvalidation",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.legacyjpa",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jdbc",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.legacyjpa",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.serialization.converters",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.serialization.json",0,0,0,0,0,-1,""
"axon-test-4.9.3","org.axonframework.test",0,0,0,0,0,-1,""
"axon-test-4.9.3","org.axonframework.test.aggregate",0,0,0,0,0,-1,""
"axon-test-4.9.3","org.axonframework.test.saga",0,0,0,0,0,-1,""
"axon-test-4.9.3","org.axonframework.test.server",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.tracing.attributes",0,0,0,0,0,-1,""
