"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-test-4.9.3","org","org",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org","org",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org","org",0,0,0,0,0,-1,""
"axon-disruptor-4.9.3","org","org",0,0,0,0,0,-1,""
"axon-eventsourcing-4.9.3","org","org",0,0,0,0,0,-1,""
"axon-configuration-4.9.3","org","org",0,0,0,0,0,-1,""
"axon-test-4.9.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-disruptor-4.9.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-eventsourcing-4.9.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-configuration-4.9.3","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-messaging-4.9.3","org.axonframework.common.io","io",0,0,0,0,0,-1,""
"axon-disruptor-4.9.3","org.axonframework.disruptor","disruptor",0,0,0,0,0,-1,""
"axon-modelling-4.9.3","org.axonframework.modelling","modelling",0,0,0,0,0,-1,""
