"p.fqn","p.name","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependenciesIncludingSubpackages","p.incomingDependenciesIncludingSubpackages","p.outgoingDependentTypesIncludingSubpackages","p.incomingDependentTypesIncludingSubpackages","p.outgoingDependentInterfacesIncludingSubpackages","p.incomingDependentInterfacesIncludingSubpackages","p.outgoingDependentPackagesIncludingSubpackages","p.incomingDependentPackagesIncludingSubpackages","p.outgoingDependentArtifactsIncludingSubpackages","p.incomingDependentArtifactsIncludingSubpackages","Source Cypher File: Metrics/Calculate_and_set_Instability_Including_Subpackages.cypher"
"org.axonframework.queryhandling","queryhandling",0.7543103448275862,0.864406779661017,0.5217391304347826,0.6,0,175,57,51,8,12,11,9,6,0,1,""
"org.axonframework.modelling.saga.repository","repository",0.7647058823529411,0.7555555555555555,0.5555555555555556,0.8571428571428571,0.5,104,32,34,11,5,4,12,2,1,1,""
"org.axonframework.test.eventscheduler","eventscheduler",0.7692307692307693,0.75,0,0.8,1,10,3,6,2,0,0,4,1,1,0,""
"org.axonframework.eventhandling.gateway","gateway",0.7777777777777778,0.7777777777777778,0.5,0.75,0,14,4,7,2,1,1,3,1,0,0,""
"org.axonframework.eventsourcing","eventsourcing",0.7839506172839507,0.8715596330275229,0.5882352941176471,0.88,0.3333333333333333,381,105,95,14,10,7,22,3,1,2,""
"org.axonframework.test.deadline","deadline",0.7857142857142857,0.8095238095238095,0,0.75,1,22,6,17,4,0,0,6,2,1,0,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.7931034482758621,0.8,0,0.6666666666666666,0.5,23,6,12,3,0,0,6,3,1,1,""
"org.axonframework.messaging.interceptors","interceptors",0.8205128205128205,0.6470588235294118,0,0.6,0,32,7,11,6,0,0,6,4,0,2,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.8524590163934426,0.8823529411764706,0.5,0.875,0,52,9,30,4,2,2,7,1,0,0,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.8571428571428571,0.8947368421052632,0,0.7142857142857143,0,24,4,17,2,0,0,5,2,0,1,""
"org.axonframework.commandhandling.gateway","gateway",0.8631578947368421,0.7857142857142857,0.5,0.8181818181818182,0,82,13,22,6,1,1,9,2,0,1,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.8888888888888888,0.8888888888888888,0,0.8,0,8,1,8,1,0,0,4,1,0,0,""
"org.axonframework.eventhandling.replay","replay",0.9,0.8823529411764706,0,0.8,0,27,3,15,2,0,0,4,1,0,0,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.9090909090909091,0.9230769230769231,1,0.8888888888888888,1,20,2,12,1,2,0,8,1,2,0,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.9090909090909091,0.9310344827586207,0,0.8333333333333334,0.5,40,4,27,2,0,0,10,2,1,1,""
"org.axonframework.eventhandling.scheduling","scheduling",0.9565217391304348,0.88,0,0.8181818181818182,0,88,4,22,3,0,2,9,2,0,1,""
"org.axonframework.queryhandling.annotation","annotation",0.9615384615384616,0.9523809523809523,0,0.8333333333333334,0,25,1,20,1,0,0,5,1,0,0,""
"org.axonframework.eventhandling.pooled","pooled",0.9724770642201835,0.9459459459459459,0.5,0.9166666666666666,0,106,3,35,2,1,1,11,1,0,0,""
"org.axonframework.deadline.jobrunr","jobrunr",0.9782608695652174,0.9705882352941176,0,0.9,0,45,1,33,1,0,0,9,1,0,0,""
"org.axonframework.eventhandling.deadletter","deadletter",0.985781990521327,0.9661016949152542,0.8,0.9090909090909091,0,208,3,57,2,4,1,10,1,0,0,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.9924242424242424,0.984375,0,0.9285714285714286,1,131,1,63,1,0,0,13,1,2,0,""
