"artifactName","fullQualifiedPackageName","packageName","distance","abstractness","instability","typesInPackage","Source Cypher File: Metrics/Calculate_distance_between_abstractness_and_instability.cypher"
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.15900116144018583,0.21428571428571427,0.9447154471544715,14,""
"axon-messaging-4.9.3","org.axonframework.queryhandling","queryhandling",0.1520879323031641,0.3125,0.8395879323031641,48,""
"axon-messaging-4.9.3","org.axonframework.serialization.upcasting","upcasting",0.14583333333333348,0.8333333333333334,0.3125,6,""
"axon-test-4.9.3","org.axonframework.test.aggregate","aggregate",0.14414140942418152,0.15789473684210525,0.9862466725820763,19,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.14011799410029502,0.16666666666666666,0.9734513274336283,6,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore","eventstore",0.1392774851876235,0.3548387096774194,0.7844387755102041,31,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.quartz","quartz",0.11949685534591192,0.16666666666666666,0.9528301886792453,6,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jpa","jpa",0.10612244897959178,0.14285714285714285,0.963265306122449,7,""
"axon-messaging-4.9.3","org.axonframework.deadline","deadline",0.10550213675213671,0.3076923076923077,0.5868055555555556,13,""
"axon-messaging-4.9.3","org.axonframework.common.jdbc","jdbc",0.09274563820018367,0.4444444444444444,0.4628099173553719,18,""
"axon-messaging-4.9.3","org.axonframework.serialization.json","json",0.07446808510638303,0,0.925531914893617,7,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.07436273610856414,0.21428571428571427,0.8600770218228498,14,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.07407407407407407,0,0.9259259259259259,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jpa","jpa",0.0703125,0,0.9296875,4,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.java","java",0.06172839506172845,0,0.9382716049382716,4,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.replay","replay",0.05714285714285716,0.2,0.8571428571428571,10,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.05582524271844658,0,0.9441747572815534,10,""
"axon-messaging-4.9.3","org.axonframework.commandhandling.gateway","gateway",0.05566448801742929,0.23529411764705882,0.8203703703703704,34,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter.jpa","jpa",0.03801169590643272,0.1111111111111111,0.9269005847953217,9,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.0357142857142857,0,0.9642857142857143,3,""
"axon-messaging-4.9.3","org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.0357142857142857,0,0.9642857142857143,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.03528172722485512,0.1111111111111111,0.9241706161137441,9,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0.03167420814479638,0,0.9683257918552036,7,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository","repository",0.029042904290428995,0.26666666666666666,0.7623762376237624,15,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.deadletter","deadletter",0.02493765586034913,0,0.9750623441396509,5,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jpa","jpa",0.020408163265306145,0.14285714285714285,0.8775510204081632,7,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga","saga",0.020026350461133102,0.3939393939393939,0.6260869565217392,33,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.01851851851851849,0,0.9814814814814815,2,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.014150943396226467,0,0.9858490566037735,3,""
"axon-messaging-4.9.3","org.axonframework.deadline.dbscheduler","dbscheduler",0.014141414141414121,0,0.9858585858585859,7,""
"axon-eventsourcing-4.9.3","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.013157894736842146,0,0.9868421052631579,2,""
"axon-modelling-4.9.3","org.axonframework.modelling.command.legacyjpa","legacyjpa",0.012048192771084376,0,0.9879518072289156,2,""
"axon-messaging-4.9.3","org.axonframework.deadline.quartz","quartz",0.01091703056768556,0,0.9890829694323144,4,""
"axon-disruptor-4.9.3","org.axonframework.disruptor.commandhandling","commandhandling",0.009786581771017655,0.045454545454545456,0.9643320363164721,22,""
"axon-messaging-4.9.3","org.axonframework.queryhandling.registration","registration",0.009090909090909038,0.4,0.5909090909090909,5,""
"axon-modelling-4.9.3","org.axonframework.modelling.saga.repository.jdbc","jdbc",0.0052631578947368585,0.1,0.8947368421052632,10,""
"axon-messaging-4.9.3","org.axonframework.tracing.attributes","attributes",0,0,1,6,""
"axon-messaging-4.9.3","org.axonframework.serialization.converters","converters",0,0,1,5,""
"axon-messaging-4.9.3","org.axonframework.eventhandling.interceptors","interceptors",0,0,1,1,""
