"memberName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_3c_Page_Rank_Stream.cypher"
"org.axonframework.commandhandling.gateway",0.015442810994807777,101,170,""
"org.axonframework.common.caching",0.015408038844468354,30,27,""
"org.axonframework.test.eventscheduler",0.015323394403902542,9,16,""
"org.axonframework.eventsourcing.snapshotting",0.015293801818821662,14,8,""
"org.axonframework.test.utils",0.01514383369057058,8,14,""
"org.axonframework.eventsourcing.eventstore.jpa",0.015142582084901351,9,45,""
"org.axonframework.eventhandling.deadletter",0.015047661204951034,9,42,""
"org.axonframework.modelling.saga.repository.inmemory",0.015029065920722484,5,7,""
"org.axonframework.eventhandling.pooled",0.01500785567464929,52,154,""
"org.axonframework.eventsourcing.conflictresolution",0.014984400547003692,15,32,""
"org.axonframework.queryhandling.registration",0.014820660162742836,9,13,""
"org.axonframework.common.digest",0.014611952197460962,1,1,""
"org.axonframework.disruptor.commandhandling",0.014609800371631836,55,185,""
"org.axonframework.eventhandling.gateway",0.014589897606480962,11,21,""
"org.axonframework.queryhandling.annotation",0.014530189311028344,4,28,""
"org.axonframework.eventhandling.tokenstore.inmemory",0.014490383780726599,2,9,""
"org.axonframework.config",0.014470481015575725,115,431,""
"org.axonframework.deadline.annotation",0.014470481015575725,6,15,""
"org.axonframework.deadline.jobrunr",0.014470481015575725,3,40,""
"org.axonframework.deadline.quartz",0.014470481015575725,5,56,""
"org.axonframework.eventhandling.deadletter.legacyjpa",0.014470481015575725,9,56,""
"org.axonframework.eventhandling.interceptors",0.014470481015575725,0,7,""
"org.axonframework.eventhandling.scheduling.java",0.014470481015575725,5,24,""
"org.axonframework.eventhandling.scheduling.jobrunr",0.014470481015575725,3,26,""
"org.axonframework.eventhandling.scheduling.quartz",0.014470481015575725,10,44,""
"org.axonframework.eventhandling.tokenstore.jdbc",0.014470481015575725,16,39,""
"org.axonframework.eventhandling.tokenstore.legacyjpa",0.014470481015575725,2,22,""
"org.axonframework.eventsourcing.eventstore.inmemory",0.014470481015575725,1,13,""
"org.axonframework.eventsourcing.eventstore.legacyjpa",0.014470481015575725,23,84,""
"org.axonframework.messaging.interceptors.legacyvalidation",0.014470481015575725,1,7,""
"org.axonframework.modelling.command.legacyjpa",0.014470481015575725,2,23,""
"org.axonframework.modelling.saga.repository.jdbc",0.014470481015575725,13,39,""
"org.axonframework.modelling.saga.repository.legacyjpa",0.014470481015575725,3,21,""
"org.axonframework.serialization.converters",0.014470481015575725,0,7,""
"org.axonframework.serialization.json",0.014470481015575725,7,33,""
"org.axonframework.test.aggregate",0.014470481015575725,31,181,""
"org.axonframework.test.saga",0.014470481015575725,43,149,""
"org.axonframework.tracing.attributes",0.014470481015575725,0,16,""
