"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality_5c_Betweeness_Stream.cypher"
"org.axonframework.eventhandling.tokenstore.jpa","jpa",1,9,119,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.75,2,25,""
"org.axonframework.common.digest","digest",0.5,1,1,""
"org.axonframework.test.aggregate","aggregate",0,31,2223,""
"org.axonframework.deadline.annotation","annotation",0,6,29,""
"org.axonframework.tracing.attributes","attributes",0,0,43,""
"org.axonframework.commandhandling.callbacks","callbacks",0,8,39,""
"org.axonframework.disruptor.commandhandling","commandhandling",0,55,1487,""
"org.axonframework.common","common",0,853,19,""
"org.axonframework.config","config",0,115,7942,""
"org.axonframework.serialization.converters","converters",0,0,7,""
"org.axonframework.eventhandling.deadletter","deadletter",0,9,275,""
"org.axonframework.messaging.deadletter","deadletter",0,135,104,""
"org.axonframework.eventhandling.gateway","gateway",0,11,52,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0,0,28,""
"org.axonframework.common.io","io",0,10,0,""
"org.axonframework.eventhandling.scheduling.java","java",0,5,76,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0,13,133,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0,16,195,""
"org.axonframework.deadline.jobrunr","jobrunr",0,3,348,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0,3,198,""
"org.axonframework.serialization.json","json",0,7,87,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0,3,81,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,23,375,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0,2,106,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,1,27,""
"org.axonframework.common.lock","lock",0,46,25,""
"org.axonframework.eventhandling.pooled","pooled",0,52,1022,""
"org.axonframework.deadline.quartz","quartz",0,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0,10,202,""
"org.axonframework.test.saga","saga",0,27,413,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0,30,80,""
"org.axonframework.common.stream","stream",0,29,5,""
"org.axonframework.common.transaction","transaction",0,272,6,""
"org.axonframework.serialization.upcasting","upcasting",0,11,5,""
"org.axonframework.test.utils","utils",0,6,70,""
