"artifactName","fullPackageName","linesInPackage","complexityInPackage","methodCount","maxLinesMethod","maxLinesMethodType","maxLinesMethodName","maxComplexity","maxComplexityType","maxComplexityMethod","packageName","Source Cypher File: Overview/Effective_lines_of_method_code_per_package.cypher"
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.util",299,155,111,19,"GrpcMetaDataConverter","convertToMetaDataValue",8,"GrpcMetaDataConverter","convertFromMetaDataValue","util",""
"axon-messaging-4.10.0","org.axonframework.messaging.deadletter",298,170,112,33,"InMemorySequencedDeadLetterQueue","process",10,"GenericDeadLetter","equals","deadletter",""
"axon-spring-boot-autoconfigure-4.10.0","org.axonframework.springboot",294,164,159,9,"TracingProperties","<init>",6,"EventProcessorProperties$ProcessorSettings","getThreadCount","springboot",""
"axon-messaging-4.10.0","org.axonframework.common.caching",288,182,110,13,"WeakReferenceCache","computeIfAbsent",8,"EhCache3Adapter$CacheEventListenerAdapter","onEvent","caching",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository",281,141,100,22,"AssociationValueMap$AssociationValueComparator","compare",16,"AssociationValueMap$AssociationValueComparator","compare","repository",""
"axon-messaging-4.10.0","org.axonframework.tracing",269,156,126,15,"SpanUtils","determineMessageName",7,"SpanUtils","determineMessageName","tracing",""
"axon-messaging-4.10.0","org.axonframework.deadline",265,140,119,25,"SimpleDeadlineManager$DeadlineTask","run",7,"SimpleDeadlineManager$DeadlineId","equals","deadline",""
"axon-messaging-4.10.0","org.axonframework.deadline.quartz",245,84,53,44,"DeadlineJob","execute",11,"DeadlineJob","execute","quartz",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.dbscheduler",237,112,77,12,"DbSchedulerEventScheduler","start",8,"DbSchedulerHumanReadableEventData","equals","dbscheduler",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.query.subscription",227,89,69,21,"SubscriptionMessageSerializer","serialize",4,"GrpcBackedQueryUpdateMessage","<init>","subscription",""
"axon-messaging-4.10.0","org.axonframework.common.jdbc",220,129,57,16,"ConnectionWrapperFactory","lambda$wrap$0",12,"ConnectionWrapperFactory","lambda$wrap$0","jdbc",""
"axon-test-4.10.0","org.axonframework.test.server",219,112,64,15,"AxonServerContainerUtils","initCluster",12,"AxonServerContainer","equals","server",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.jpa",215,98,60,19,"JpaTokenStore","storeToken",6,"TokenEntry$PK","equals","jpa",""
"axon-messaging-4.10.0","org.axonframework.messaging.responsetypes",187,148,76,17,"MultipleInstancesResponseType","convert",10,"MultipleInstancesResponseType","convert","responsetypes",""
"axon-test-4.10.0","org.axonframework.test.deadline",186,95,55,11,"DeadlineManagerValidator","assertScheduledDeadlineMatching",6,"ScheduledDeadlineInfo","equals","deadline",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.deadletter",183,85,55,15,"DeadLetteringEventHandlerInvoker","handle",5,"DeadLetteringEventHandlerInvoker","handle","deadletter",""
"axon-modelling-4.10.0","org.axonframework.modelling.saga.repository.jpa",183,65,48,20,"JpaSagaStore","updateSaga",6,"JpaSagaStore","updateSaga","jpa",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.scheduling.quartz",178,74,49,21,"FireEventJob","execute",6,"QuartzScheduleToken","equals","quartz",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.async",171,84,62,11,"AsynchronousEventProcessingStrategy","assignEventsToScheduler",5,"EventProcessorTask","run","async",""
"axon-server-connector-4.10.0","org.axonframework.axonserver.connector.processor",170,63,37,16,"StreamingEventProcessorInfoMessage","describe",4,"EventProcessorControlService$AxonProcessorInstructionHandler","splitSegment","processor",""
"axon-messaging-4.10.0","org.axonframework.eventhandling.tokenstore.legacyjpa",167,63,40,19,"JpaTokenStore","storeToken",5,"JpaTokenStore","validateSegment","legacyjpa",""
"axon-messaging-4.10.0","org.axonframework.deadline.jobrunr",165,77,54,23,"JobRunrDeadlineManager","execute",13,"JobRunrDeadlineManager","$deserializeLambda$","jobrunr",""
