"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies"
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.014398389139797938,3,198
"org.axonframework.serialization.json","json",0.014398389139797938,7,87
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.014398389139797938,23,375
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.014398389139797938,9,330
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.014398389139797938,2,106
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0.014398389139797938,2,143
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.014398389139797938,3,81
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.014398389139797938,1,27
"org.axonframework.deadline.quartz","quartz",0.014398389139797938,5,481
"org.axonframework.eventhandling.scheduling.quartz","quartz",0.014398389139797938,10,202
"org.axonframework.test.saga","saga",0.014398389139797938,43,1375

"Source Cypher Query:","Centrality_3c_Page_Rank_Stream.cypher"
