"fullQualifiedPackageName","packageName","score","incomingDependencies","outgoingDependencies","Source Cypher File: Centrality/Centrality_8b_Closeness_Stream.cypher"
"org.axonframework.queryhandling.registration","registration",0.2553298640255162,9,13,""
"org.axonframework.common.jpa","jpa",0.1261441647597254,16,6,""
"org.axonframework.common.lock","lock",0.11983695652173913,46,25,""
"org.axonframework.modelling.command","command",0.10805626598465472,254,827,""
"org.axonframework.serialization.xml","xml",0.10702341137123746,17,28,""
"org.axonframework.common.jdbc","jdbc",0.10652173913043478,65,56,""
"org.axonframework.eventsourcing.eventstore","eventstore",0.09881422924901186,169,603,""
"org.axonframework.modelling.saga","saga",0.09782608695652174,242,398,""
"org.axonframework.common.caching","caching",0.08490011750881316,37,49,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",0.07736572890025577,23,17,""
"org.axonframework.modelling.command.inspection","inspection",0.07653985507246376,84,781,""
"org.axonframework.eventhandling.scheduling","scheduling",0.06657608695652174,20,2,""
"org.axonframework.modelling.saga.repository","repository",0.06521739130434782,72,231,""
"org.axonframework.eventsourcing","eventsourcing",0.0639386189258312,134,976,""
"org.axonframework.modelling.saga.metamodel","metamodel",0.05502717391304348,15,67,""
"org.axonframework.messaging.deadletter","deadletter",0.05434782608695652,198,105,""
"org.axonframework.common.legacyjpa","legacyjpa",0.05434782608695652,14,6,""
"org.axonframework.test","test",0.05434782608695652,16,13,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.043478260869565216,15,99,""
"org.axonframework.modelling.saga.repository.jpa","jpa",0.03260869565217391,12,86,""
"org.axonframework.test.matchers","matchers",0.03260869565217391,61,51,""
"org.axonframework.common.digest","digest",0.02898550724637681,2,1,""
"org.axonframework.test.deadline","deadline",0.021739130434782608,10,138,""
"org.axonframework.commandhandling.gateway","gateway",0.021739130434782608,97,443,""
"org.axonframework.modelling.saga.repository.inmemory","inmemory",0.021739130434782608,5,15,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",0.021739130434782608,9,236,""
"org.axonframework.eventhandling.tokenstore.jpa","jpa",0.021739130434782608,9,119,""
"org.axonframework.queryhandling.annotation","annotation",0.010869565217391304,4,199,""
"org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.010869565217391304,12,34,""
"org.axonframework.disruptor.commandhandling","commandhandling",0.010869565217391304,55,1487,""
"org.axonframework.eventhandling.deadletter","deadletter",0.010869565217391304,9,386,""
"org.axonframework.commandhandling.distributed","distributed",0.010869565217391304,50,752,""
"org.axonframework.test.eventscheduler","eventscheduler",0.010869565217391304,9,38,""
"org.axonframework.eventhandling.gateway","gateway",0.010869565217391304,11,52,""
"org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.010869565217391304,2,25,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.010869565217391304,218,1340,""
"org.axonframework.deadline.jobrunr","jobrunr",0.010869565217391304,5,433,""
"org.axonframework.eventhandling.deadletter.jpa","jpa",0.010869565217391304,25,317,""
"org.axonframework.eventhandling.pooled","pooled",0.010869565217391304,52,1022,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.010869565217391304,30,80,""
"org.axonframework.test.utils","utils",0.010869565217391304,8,70,""
"org.axonframework.test.aggregate","aggregate",0,31,2223,""
"org.axonframework.deadline.annotation","annotation",0,6,29,""
"org.axonframework.tracing.attributes","attributes",0,0,43,""
"org.axonframework.config","config",0,115,7974,""
"org.axonframework.serialization.converters","converters",0,0,7,""
"org.axonframework.deadline.dbscheduler","dbscheduler",0,6,503,""
"org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0,6,213,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0,1,75,""
"org.axonframework.eventhandling.interceptors","interceptors",0,0,28,""
"org.axonframework.eventhandling.scheduling.java","java",0,5,76,""
"org.axonframework.eventhandling.deadletter.jdbc","jdbc",0,34,581,""
"org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0,16,195,""
"org.axonframework.modelling.saga.repository.jdbc","jdbc",0,16,136,""
"org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0,3,209,""
"org.axonframework.serialization.json","json",0,7,87,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0,23,375,""
"org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0,9,330,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0,2,106,""
"org.axonframework.modelling.command.legacyjpa","legacyjpa",0,2,143,""
"org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0,3,81,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0,1,27,""
"org.axonframework.deadline.quartz","quartz",0,5,481,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",0,10,202,""
"org.axonframework.test.saga","saga",0,43,1375,""
"org.axonframework.test.server","server",0,1,2,""
