"annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: Internal_Dependencies/Annotated_language_elements.cypher"
"java.lang.Deprecated","Class",25,"org.axonframework.modelling.command.legacyjpa.GenericJpaRepository,org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry,org.axonframework.modelling.saga.repository.legacyjpa.JpaSagaStore,org.axonframework.test.aggregate.StubAggregateLifecycleRule,org.axonframework.test.server.AxonServerSEContainer,org.axonframework.test.utils.AutowiredResourceInjector,org.axonframework.test.server.AxonServerEEContainer,org.axonframework.eventsourcing.MultiStreamableMessageSource$Builder,org.axonframework.eventsourcing.MultiStreamableMessageSource",""
"java.lang.annotation.Documented","Annotation",21,"org.axonframework.config.ProcessingGroup,org.axonframework.modelling.command.AggregateMember,org.axonframework.modelling.command.AggregateRoot,org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.command.EntityId,org.axonframework.modelling.saga.EndSaga,org.axonframework.modelling.saga.SagaEventHandler,org.axonframework.modelling.saga.StartSaga",""
"java.beans.ConstructorProperties","Constructor",21,"void <init>(java.lang.String,java.lang.Object),void <init>(org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.commandhandling.distributed.CommandMessageFilter),void <init>(java.util.Set),void <init>(org.axonframework.commandhandling.distributed.CommandMessageFilter),void <init>(long,java.util.Collection),void <init>(long),void <init>(org.axonframework.eventhandling.TrackingToken,org.axonframework.eventhandling.TrackingToken),void <init>(java.util.Map),void <init>(org.axonframework.eventhandling.TrackingToken,org.axonframework.eventhandling.TrackingToken,java.lang.Object)",""
"java.lang.Deprecated","Constructor",17,"void <init>(),void <init>(java.lang.String,java.lang.Long),void <init>(java.lang.String,java.lang.String),void <init>(org.axonframework.eventsourcing.MultiStreamableMessageSource$Builder),void <init>(java.lang.String),void <init>(org.axonframework.commandhandling.CommandCallback),void <init>(org.slf4j.Logger,org.axonframework.commandhandling.CommandCallback),void <init>(org.axonframework.commandhandling.distributed.UnresolvedRoutingKeyPolicy),void <init>(java.lang.Class)",""
"com.fasterxml.jackson.annotation.JsonCreator","Constructor",16,"void <init>(java.lang.String,java.lang.Object),void <init>(long,java.util.Collection),void <init>(long),void <init>(org.axonframework.eventhandling.TrackingToken,org.axonframework.eventhandling.TrackingToken),void <init>(java.util.Map),void <init>(org.axonframework.eventhandling.TrackingToken,org.axonframework.eventhandling.TrackingToken,java.lang.Object),void <init>(java.lang.String),void <init>(java.util.UUID),void <init>(java.lang.String,java.lang.String)",""
"javax.persistence.Column","Field",12,"java.lang.Object serializedSaga,byte[] serializedSaga,java.lang.String eventIdentifier,java.lang.Object payload,java.lang.Object metaData,java.lang.String causeMessage,byte[] diagnostics,byte[] payload,byte[] metaData",""
"org.axonframework.common.Priority","Class",11,"org.axonframework.config.ConfigurationParameterResolverFactory,org.axonframework.test.FixtureResourceParameterResolverFactory,org.axonframework.commandhandling.CurrentUnitOfWorkParameterResolverFactory,org.axonframework.eventhandling.SequenceNumberParameterResolverFactory,org.axonframework.eventhandling.TimestampParameterResolverFactory,org.axonframework.messaging.annotation.AggregateTypeParameterResolverFactory,org.axonframework.messaging.annotation.DefaultParameterResolverFactory,org.axonframework.messaging.annotation.InterceptorChainParameterResolverFactory,org.axonframework.messaging.annotation.MessageIdentifierParameterResolverFactory",""
"jakarta.persistence.Column","Field",11,"byte[] serializedSaga,java.lang.String eventIdentifier,java.lang.Object payload,java.lang.Object metaData,java.lang.String causeMessage,byte[] diagnostics,byte[] payload,byte[] metaData,byte[] token",""
"javax.persistence.Id","Field",10,"java.lang.String sagaId,java.lang.Long id,java.lang.String aggregateIdentifier,long sequenceNumber,java.lang.String type,long globalIndex,java.lang.String deadLetterId,java.lang.String processorName,int segment",""
"javax.persistence.Lob","Field",10,"java.lang.Object serializedSaga,byte[] serializedSaga,java.lang.Object payload,java.lang.Object metaData,byte[] diagnostics,byte[] payload,byte[] metaData,byte[] token,java.lang.Object token",""
"jakarta.persistence.Id","Field",9,"java.lang.Long id,java.lang.String sagaId,java.lang.String aggregateIdentifier,long sequenceNumber,java.lang.String type,long globalIndex,java.lang.String deadLetterId,java.lang.String processorName,int segment",""
"java.lang.SafeVarargs","Constructor",9,"void <init>(org.hamcrest.Matcher[]),void <init>(java.lang.Class[]),void <init>(org.axonframework.messaging.Message[]),void <init>(org.axonframework.monitoring.MessageMonitor[]),void <init>(org.axonframework.serialization.upcasting.Upcaster[])",""
"com.fasterxml.jackson.annotation.JsonGetter","Method",9,"org.axonframework.commandhandling.distributed.CommandMessageFilter getFirst(),org.axonframework.commandhandling.distributed.CommandMessageFilter getSecond(),java.util.Set getCommandNames(),org.axonframework.commandhandling.distributed.CommandMessageFilter getFilter(),org.axonframework.eventhandling.TrackingToken lowerSegmentToken(),org.axonframework.eventhandling.TrackingToken upperSegmentToken()",""
"org.axonframework.messaging.annotation.HasHandlerAttributes","Annotation",8,"org.axonframework.modelling.command.CreationPolicy,org.axonframework.modelling.saga.EndSaga,org.axonframework.modelling.saga.StartSaga,org.axonframework.eventhandling.AllowReplay,org.axonframework.lifecycle.ShutdownHandler,org.axonframework.lifecycle.StartHandler,org.axonframework.messaging.annotation.MessageHandler,org.axonframework.messaging.interceptors.ResultHandler",""
"jakarta.persistence.Lob","Field",8,"byte[] serializedSaga,java.lang.Object payload,java.lang.Object metaData,byte[] diagnostics,byte[] payload,byte[] metaData,byte[] token",""
"java.lang.SafeVarargs","Method",6,"org.axonframework.config.AggregateConfigurer withSubtypes(java.lang.Class[]),org.axonframework.test.aggregate.FixtureConfiguration withSubtypes(java.lang.Class[]),org.hamcrest.Matcher listWithAllOf(org.hamcrest.Matcher[]),org.hamcrest.Matcher listWithAnyOf(org.hamcrest.Matcher[]),org.hamcrest.Matcher sequenceOf(org.hamcrest.Matcher[]),org.hamcrest.Matcher exactSequenceOf(org.hamcrest.Matcher[])",""
"jakarta.persistence.Entity","Class",6,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"javax.persistence.Entity","Class",6,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.modelling.saga.repository.jpa.SagaEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventsourcing.eventstore.jpa.SnapshotEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"javax.persistence.MappedSuperclass","Class",6,"org.axonframework.modelling.saga.repository.jpa.AbstractSagaEntry,org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventhandling.AbstractDomainEventEntry,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry,org.axonframework.eventhandling.tokenstore.AbstractTokenEntry",""
"org.axonframework.messaging.annotation.MessageHandler","Annotation",6,"org.axonframework.commandhandling.CommandHandler,org.axonframework.deadline.annotation.DeadlineHandler,org.axonframework.eventhandling.EventHandler,org.axonframework.eventhandling.ResetHandler,org.axonframework.messaging.interceptors.MessageHandlerInterceptor,org.axonframework.queryhandling.QueryHandler",""
"jakarta.persistence.MappedSuperclass","Class",4,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventhandling.AbstractDomainEventEntry,org.axonframework.eventhandling.AbstractEventEntry,org.axonframework.eventhandling.AbstractSequencedDomainEventEntry",""
"com.fasterxml.jackson.annotation.JsonTypeInfo","Field",4,"java.util.Map trackingTokens,org.axonframework.eventhandling.TrackingToken tokenAtReset,org.axonframework.eventhandling.TrackingToken currentToken,java.lang.Object context",""
"java.lang.annotation.Inherited","Annotation",3,"org.axonframework.config.ProcessingGroup,org.axonframework.common.Priority,org.axonframework.serialization.Revision",""
"java.lang.Deprecated","Interface",3,"org.axonframework.modelling.command.inspection.CommandHandlerInterceptorHandlingMember,org.axonframework.common.legacyjpa.EntityManagerProvider,org.axonframework.eventhandling.deadletter.legacyjpa.DeadLetterJpaConverter",""
"jakarta.persistence.Table","Class",3,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry",""
"javax.persistence.Table","Class",3,"org.axonframework.modelling.saga.repository.jpa.AssociationValueEntry,org.axonframework.eventsourcing.eventstore.jpa.DomainEventEntry,org.axonframework.eventhandling.deadletter.jpa.DeadLetterEntry",""
"java.lang.Deprecated","Field",3,"java.lang.String SERIALIZED_DEADLINE_MESSAGE,java.lang.String SERIALIZED_DEADLINE_MESSAGE_CLASS_NAME,java.lang.String EVENT_KEY",""
"com.fasterxml.jackson.annotation.JsonIgnore","Method",3,"boolean isLowerSegmentAdvanced(),boolean isUpperSegmentAdvanced(),java.lang.String getTaskName()",""
"javax.annotation.Nullable","Method",2,"java.lang.String consoleClientVersion(),java.lang.Object context()",""
"org.axonframework.messaging.interceptors.MessageHandlerInterceptor","Annotation",2,"org.axonframework.modelling.command.CommandHandlerInterceptor,org.axonframework.messaging.interceptors.ExceptionHandler",""
"org.axonframework.eventhandling.EventHandler","Annotation",2,"org.axonframework.modelling.saga.SagaEventHandler,org.axonframework.eventsourcing.EventSourcingHandler",""
"javax.persistence.GeneratedValue","Field",2,"java.lang.Long id,long globalIndex",""
"jakarta.persistence.GeneratedValue","Field",2,"java.lang.Long id,long globalIndex",""
"jakarta.persistence.IdClass","Class",2,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"javax.persistence.IdClass","Class",2,"org.axonframework.eventsourcing.eventstore.AbstractSnapshotEventEntry,org.axonframework.eventhandling.tokenstore.jpa.TokenEntry",""
"com.fasterxml.jackson.annotation.JsonTypeInfo","Interface",2,"org.axonframework.commandhandling.distributed.CommandMessageFilter,org.axonframework.eventhandling.scheduling.ScheduleToken",""
"com.fasterxml.jackson.annotation.JsonTypeInfo","Method",2,"org.axonframework.eventhandling.TrackingToken lowerSegmentToken(),org.axonframework.eventhandling.TrackingToken upperSegmentToken()",""
"org.axonframework.modelling.command.EntityId","Annotation",1,"org.axonframework.modelling.command.AggregateIdentifier",""
"org.axonframework.commandhandling.RoutingKey","Annotation",1,"org.axonframework.modelling.command.TargetAggregateIdentifier",""
"javax.annotation.PreDestroy","Method",1,"void shutDown()",""
"org.axonframework.eventhandling.AllowReplay","Annotation",1,"org.axonframework.eventhandling.DisallowReplay",""
"javax.persistence.Embedded","Field",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry message",""
"jakarta.persistence.Embedded","Field",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry message",""
"javax.persistence.Embeddable","Class",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry",""
"jakarta.persistence.Embeddable","Class",1,"org.axonframework.eventhandling.deadletter.jpa.DeadLetterEventEntry",""
"org.axonframework.messaging.interceptors.ResultHandler","Annotation",1,"org.axonframework.messaging.interceptors.ExceptionHandler",""
