"artifactName","fullQualifiedPackageName","packageName","instability","instabilityTypes","instabilityInterfaces","instabilityPackages","instabilityArtifacts","p.outgoingDependencies","p.incomingDependencies","p.outgoingDependentTypes","p.incomingDependentTypes","p.outgoingDependentInterfaces","p.incomingDependentInterfaces","p.outgoingDependentPackages","p.incomingDependentPackages","p.outgoingDependentArtifacts","p.incomingDependentArtifacts","Source Cypher File: Metrics/Calculate_and_set_Instability_for_Java.cypher"
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.util.legacyjpa","legacyjpa",0.5,0.5,1,0.5,0,1,1,1,1,1,0,1,1,0,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.service.connection","connection",0.5333333333333333,0.4444444444444444,1,0.6,1,8,7,4,5,1,0,3,2,2,0,""
"axon-messaging-4.10.1","org.axonframework.util","util",0.5454545454545454,0.5454545454545454,0,0.6,0,6,5,6,5,0,0,6,4,0,2,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.util","util",0.5592105263157895,0.4,0.8333333333333334,0.4166666666666667,1,85,67,26,39,5,1,5,7,1,0,""
"axon-messaging-4.10.1","org.axonframework.serialization.xml","xml",0.56,0.5483870967741935,1,0.2857142857142857,0,28,22,17,14,4,0,4,10,0,5,""
"axon-messaging-4.10.1","org.axonframework.common.caching","caching",0.5697674418604651,0.3888888888888889,1,0.2857142857142857,0,49,37,14,22,3,0,2,5,0,4,""
"axon-messaging-4.10.1","org.axonframework.deadline","deadline",0.5777777777777777,0.5054945054945055,0.7096774193548387,0.38095238095238093,0,338,247,46,45,22,9,8,13,0,4,""
"axon-messaging-4.10.1","org.axonframework.queryhandling.registration","registration",0.5909090909090909,0.5833333333333334,1,0.6666666666666666,0,13,9,7,5,2,0,4,2,0,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.actuator.axonserver","axonserver",0.6,0.6666666666666666,0,0.6666666666666666,1,3,2,2,1,0,0,2,1,1,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga","saga",0.6215827338129496,0.5,0.6571428571428571,0.45,0.25,432,263,62,62,23,12,9,11,1,3,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.async","async",0.6229508196721312,0.5,0.7777777777777778,0.5,0,76,46,20,20,7,2,5,5,0,3,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",0.7272727272727273,0.6428571428571429,1,0.7142857142857143,1,80,30,9,5,6,0,5,2,1,0,""
"axon-messaging-4.10.1","org.axonframework.queryhandling","queryhandling",0.7332904884318766,0.5180722891566265,0.6976744186046512,0.4583333333333333,0,1141,415,86,80,30,13,11,13,0,3,""
"axon-messaging-4.10.1","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",0.7391304347826086,0.5384615384615384,0.6666666666666666,0.6,0,34,12,7,6,2,1,3,2,0,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository","repository",0.7403846153846154,0.5373134328358209,0.7368421052631579,0.47058823529411764,0.25,231,81,36,31,14,5,8,9,1,3,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore","eventstore",0.7493887530562348,0.48148148148148145,0.8387096774193549,0.5333333333333333,0.2857142857142857,613,205,65,70,26,5,16,14,2,5,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.inmemory","inmemory",0.75,0.5,1,0.5,0,15,5,5,5,3,0,3,3,0,2,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.util","util",0.7530864197530864,0.5,1,0.625,1,61,20,15,15,6,0,5,3,2,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.command","command",0.75355871886121,0.5388888888888889,0.8095238095238095,0.5555555555555556,0.14285714285714285,847,277,97,83,34,8,15,12,1,6,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.gateway","gateway",0.7878787878787878,0.6666666666666666,0.8333333333333334,0.5714285714285714,0,52,14,12,6,5,1,4,3,0,2,""
"axon-messaging-4.10.1","org.axonframework.serialization.upcasting.event","event",0.8068669527896996,0.48148148148148145,0.7857142857142857,0.375,0,188,45,26,28,11,3,6,10,0,4,""
"axon-test-4.10.1","org.axonframework.test.eventscheduler","eventscheduler",0.8085106382978723,0.6666666666666666,1,0.7142857142857143,1,38,9,10,5,5,0,5,2,1,0,""
"axon-messaging-4.10.1","org.axonframework.commandhandling.callbacks","callbacks",0.8125,0.3333333333333333,1,0.16666666666666666,0,39,9,4,8,3,0,1,5,0,2,""
"axon-messaging-4.10.1","org.axonframework.commandhandling.gateway","gateway",0.8158379373848987,0.6222222222222222,0.9166666666666666,0.7142857142857143,0,443,100,56,34,11,1,10,4,0,3,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.metamodel","metamodel",0.8170731707317073,0.625,0.875,0.5714285714285714,1,67,15,15,9,7,1,4,3,1,0,""
"axon-messaging-4.10.1","org.axonframework.deadline.annotation","annotation",0.8285714285714286,0.7857142857142857,1,0.8,0,29,6,11,3,5,0,4,1,0,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.heartbeat.connection.checker","checker",0.8333333333333334,0.75,1,0.75,0,5,1,3,1,1,0,3,1,0,0,""
"axon-tracing-opentelemetry-4.10.1","org.axonframework.tracing.opentelemetry","opentelemetry",0.8409090909090909,0.8125,1,0.6666666666666666,0.5,37,7,13,3,5,0,4,2,1,1,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",0.8507936507936508,0.6538461538461539,0.6585365853658537,0.7857142857142857,0.6666666666666666,1340,235,51,27,27,14,11,3,2,1,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector","connector",0.8540925266903915,0.5912408759124088,0.9259259259259259,0.5757575757575758,0.8,720,123,81,56,25,2,19,14,4,1,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.jdbc","jdbc",0.855072463768116,0.7352941176470589,1,0.8,0.5,118,20,25,9,8,0,8,2,1,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.replay","replay",0.8571428571428571,0.7333333333333333,1,0.7142857142857143,0,72,12,22,8,8,0,5,2,0,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.jpa","jpa",0.86,0.75,1,0.5833333333333334,0.3333333333333333,86,14,18,6,7,0,7,5,1,2,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.conflictresolution","conflictresolution",0.868421052631579,0.72,1,0.8181818181818182,1,99,15,18,7,13,0,9,2,2,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.heartbeat","heartbeat",0.8717948717948718,0.7142857142857143,1,0.625,1,34,5,10,4,7,0,5,3,2,0,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing","eventsourcing",0.8720829732065687,0.6690140845070423,0.868421052631579,0.6956521739130435,0.2857142857142857,1009,148,95,47,33,5,16,7,2,5,""
"axon-messaging-4.10.1","org.axonframework.tracing.attributes","attributes",0.8775510204081632,0.8571428571428571,1,0.8333333333333334,0,43,6,6,1,5,0,5,1,0,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",0.8928571428571429,0.75,1,0.625,0,25,3,9,3,3,0,5,3,0,2,""
"axon-test-4.10.1","org.axonframework.test.utils","utils",0.8974358974358975,0.6666666666666666,0.8888888888888888,0.7142857142857143,1,70,8,12,6,8,1,5,2,2,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.command.inspection","inspection",0.9039351851851852,0.6293103448275862,0.875,0.5882352941176471,0.2,781,83,73,43,28,4,10,7,1,4,""
"axon-messaging-4.10.1","org.axonframework.serialization.json","json",0.90625,0.8888888888888888,1,0.6666666666666666,0,87,9,24,3,6,0,4,2,0,1,""
"axon-messaging-4.10.1","org.axonframework.messaging.interceptors","interceptors",0.9083969465648855,0.5833333333333334,1,0.5384615384615384,0,119,12,14,10,8,0,7,6,0,3,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.jdbc","jdbc",0.9112149532710281,0.7368421052631579,0.9,0.75,0,195,19,28,10,9,1,6,2,0,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.jpa","jpa",0.9153846153846154,0.7777777777777778,1,0.6,0,119,11,21,6,6,0,6,4,0,2,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.jpa","jpa",0.9215116279069767,0.7647058823529411,0.8823529411764706,0.7272727272727273,0,317,27,39,12,15,2,8,3,0,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.java","java",0.926829268292683,0.8260869565217391,1,0.8,0,76,6,19,4,8,0,8,2,0,1,""
"axon-messaging-4.10.1","org.axonframework.commandhandling.distributed","distributed",0.9271356783919598,0.7115384615384616,0.9642857142857143,0.7058823529411765,0,738,58,74,30,27,1,12,5,0,2,""
"axon-test-4.10.1","org.axonframework.test.deadline","deadline",0.9324324324324325,0.7692307692307693,1,0.7,1,138,10,20,6,11,0,7,3,1,0,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",0.9373493975903614,0.8135593220338984,1,0.8823529411764706,0.5,389,26,48,11,18,0,15,2,1,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.jdbc","jdbc",0.9380234505862647,0.7903225806451613,0.9523809523809523,0.8,0,560,37,49,13,20,1,8,2,0,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.pooled","pooled",0.939453125,0.76,0.9615384615384616,0.75,0,962,62,57,18,25,1,12,4,0,3,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",0.9418604651162791,0.85,1,0.8,0.5,81,5,17,3,6,0,8,2,1,1,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.axon","axon",0.9486329743164872,0.8016528925619835,0.9459459459459459,0.8888888888888888,0.75,1145,62,97,24,35,2,24,3,3,1,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jpa","jpa",0.9516129032258065,0.8421052631578947,1,0.7333333333333333,0.3333333333333333,236,12,32,6,11,0,11,4,1,2,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.quartz","quartz",0.9528301886792453,0.8709677419354839,1,0.9090909090909091,0,202,10,27,4,12,0,10,1,0,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",0.9553571428571429,0.8709677419354839,1,0.8181818181818182,0,214,10,27,4,11,0,9,2,0,1,""
"axon-configuration-4.10.1","org.axonframework.config","config",0.96255119953189,0.7953795379537953,0.8761904761904762,0.8363636363636363,0.6666666666666666,9870,384,241,62,92,13,46,9,4,2,""
"axon-disruptor-4.10.1","org.axonframework.disruptor.commandhandling","commandhandling",0.963527851458886,0.8,1,0.875,0.75,1453,55,84,21,30,0,14,2,3,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",0.9636363636363636,0.8695652173913043,1,0.7777777777777778,0,106,4,20,3,6,0,7,2,0,1,""
"axon-messaging-4.10.1","org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",0.9642857142857143,0.875,1,0.8,0,27,1,7,1,5,0,4,1,0,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.processor","processor",0.9646017699115044,0.8695652173913043,1,0.8,1,109,4,20,3,9,0,8,2,2,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query.subscription","subscription",0.967479674796748,0.8571428571428571,1,0.8461538461538461,1,238,8,36,6,13,0,11,2,1,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",0.967741935483871,0.8780487804878049,1,0.8181818181818182,0,330,11,36,5,15,0,9,2,0,1,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.query","query",0.9697156983930779,0.8272727272727273,1,0.7647058823529411,0.5,1569,49,91,19,31,0,13,4,1,1,""
"axon-test-4.10.1","org.axonframework.test.saga","saga",0.9705882352941176,0.84375,1,0.9444444444444444,1,1419,43,81,15,26,0,17,1,2,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.command","command",0.9718456725755996,0.8732394366197183,1,0.7333333333333333,0.5,932,27,62,9,23,0,11,4,1,1,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter","deadletter",0.972636815920398,0.8333333333333334,0.9285714285714286,0.7,0,391,11,30,6,13,1,7,3,0,2,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",0.9766355140186916,0.8846153846153846,1,0.8333333333333334,0,209,5,23,3,11,0,10,2,0,1,""
"axon-messaging-4.10.1","org.axonframework.deadline.dbscheduler","dbscheduler",0.9799196787148594,0.9090909090909091,1,0.8181818181818182,0,488,10,40,4,17,0,9,2,0,1,""
"axon-messaging-4.10.1","org.axonframework.queryhandling.annotation","annotation",0.9802955665024631,0.8461538461538461,1,0.75,0,199,4,22,4,13,0,6,2,0,1,""
"axon-messaging-4.10.1","org.axonframework.deadline.jobrunr","jobrunr",0.9835680751173709,0.9024390243902439,1,0.7692307692307693,0,419,7,37,4,17,0,10,3,0,1,""
"axon-test-4.10.1","org.axonframework.test.aggregate","aggregate",0.9861668897813476,0.8679245283018868,1,0.9411764705882353,1,2210,31,92,14,34,0,16,1,3,0,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",0.9868421052631579,0.9166666666666666,1,0.8,1,75,1,11,1,7,0,4,1,1,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.command.legacyjpa","legacyjpa",0.9879518072289156,0.9090909090909091,1,0.9,1,164,2,20,2,11,0,9,1,1,0,""
"axon-messaging-4.10.1","org.axonframework.deadline.quartz","quartz",0.9890829694323144,0.9302325581395349,1,0.9090909090909091,0,453,5,40,3,18,0,10,1,0,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig","autoconfig",0.9910760253990046,0.9053030303030303,1,0.9661016949152542,1,5775,52,239,25,69,0,57,2,6,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa",0.9966442953020134,0.96875,1,0.95,1,297,1,31,1,11,0,19,1,4,0,""
