"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: Metrics/Set_Outgoing_Java_Package_Dependencies_Including_Subpackages.cypher"
"axon-messaging-4.10.1","org.axonframework.eventhandling.deadletter.legacyjpa","legacyjpa",47,281,30,0,8,0,""
"axon-messaging-4.10.1","org.axonframework.deadline.jobrunr","jobrunr",45,144,33,0,9,0,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jdbc","jdbc",45,261,31,0,9,2,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jpa","jpa",40,150,27,0,10,1,""
"axon-messaging-4.10.1","org.axonframework.messaging.deadletter","deadletter",39,90,9,7,4,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.autoconfig.legacyjpa","legacyjpa",37,84,30,0,18,4,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.quartz","quartz",34,96,21,0,9,0,""
"axon-messaging-4.10.1","org.axonframework.serialization.upcasting.event","event",33,101,20,3,5,0,""
"axon-messaging-4.10.1","org.axonframework.tracing","tracing",33,129,14,3,8,0,""
"axon-messaging-4.10.1","org.axonframework.messaging.interceptors","interceptors",32,68,11,0,6,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.util","util",28,79,11,1,4,1,""
"axon-messaging-4.10.1","org.axonframework.messaging.unitofwork","unitofwork",28,98,8,3,4,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.replay","replay",27,47,15,0,4,0,""
"axon-messaging-4.10.1","org.axonframework.serialization.upcasting","upcasting",27,89,14,1,4,0,""
"axon-messaging-4.10.1","org.axonframework.serialization.json","json",26,75,17,0,3,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.dbscheduler","dbscheduler",25,103,21,0,8,0,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",25,116,8,0,4,1,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.jdbc","jdbc",25,129,18,0,7,1,""
"axon-messaging-4.10.1","org.axonframework.queryhandling.annotation","annotation",25,76,20,0,5,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.jobrunr","jobrunr",24,72,20,0,9,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.jpa","jpa",24,105,17,0,5,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.jdbc","jdbc",23,221,21,0,5,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.jpa","jpa",23,77,12,0,6,1,""
"axon-modelling-4.10.1","org.axonframework.modelling.command.legacyjpa","legacyjpa",22,89,18,0,8,1,""
"axon-test-4.10.1","org.axonframework.test.deadline","deadline",22,71,17,0,6,1,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.processor","processor",20,80,17,0,7,2,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",20,122,18,0,6,0,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.conflictresolution","conflictresolution",20,48,12,2,8,2,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.scheduling.java","java",19,47,15,0,7,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.legacyjpa","legacyjpa",18,69,14,0,7,1,""
"axon-messaging-4.10.1","org.axonframework.serialization.xml","xml",16,49,10,0,3,0,""
"axon-messaging-4.10.1","org.axonframework.tracing.attributes","attributes",16,25,6,0,5,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.async","async",15,54,8,1,4,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.metamodel","metamodel",15,42,11,2,3,1,""
"axon-messaging-4.10.1","org.axonframework.commandhandling.distributed.commandfilter","commandfilter",14,59,2,1,2,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.gateway","gateway",14,36,7,1,3,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.heartbeat","heartbeat",13,38,8,0,4,2,""
"axon-messaging-4.10.1","org.axonframework.commandhandling.callbacks","callbacks",13,36,4,0,1,0,""
"axon-messaging-4.10.1","org.axonframework.messaging.responsetypes","responsetypes",13,38,10,0,5,0,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.eventstore.inmemory","inmemory",12,76,10,0,3,1,""
"axon-tracing-opentelemetry-4.10.1","org.axonframework.tracing.opentelemetry","opentelemetry",12,45,8,0,3,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.util","util",11,20,11,0,6,2,""
"axon-test-4.10.1","org.axonframework.test.matchers","matchers",11,21,7,0,5,1,""
"axon-test-4.10.1","org.axonframework.test.utils","utils",11,35,10,1,4,1,""
"axon-test-4.10.1","org.axonframework.test.eventscheduler","eventscheduler",10,23,6,0,4,1,""
"axon-messaging-4.10.1","org.axonframework.common.caching","caching",9,16,3,0,1,0,""
"axon-messaging-4.10.1","org.axonframework.deadline.annotation","annotation",9,22,6,0,3,0,""
"axon-messaging-4.10.1","org.axonframework.common.jdbc","jdbc",8,36,7,0,4,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.tokenstore.inmemory","inmemory",8,30,8,0,4,0,""
"axon-messaging-4.10.1","org.axonframework.messaging.correlation","correlation",8,14,2,3,1,0,""
"axon-messaging-4.10.1","org.axonframework.monitoring","monitoring",8,20,2,5,2,0,""
"axon-messaging-4.10.1","org.axonframework.eventhandling.interceptors","interceptors",7,19,7,0,3,0,""
"axon-messaging-4.10.1","org.axonframework.queryhandling.registration","registration",7,19,3,0,3,0,""
"axon-messaging-4.10.1","org.axonframework.serialization.converters","converters",7,9,2,0,1,0,""
"axon-eventsourcing-4.10.1","org.axonframework.eventsourcing.snapshotting","snapshotting",6,20,4,2,3,0,""
"axon-messaging-4.10.1","org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",6,12,6,0,3,0,""
"axon-modelling-4.10.1","org.axonframework.modelling.saga.repository.inmemory","inmemory",6,15,4,0,2,0,""
"axon-messaging-4.10.1","org.axonframework.util","util",6,7,6,0,6,0,""
"axon-messaging-4.10.1","org.axonframework.common","common",5,30,5,0,2,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.heartbeat.connection","connection",4,10,2,0,2,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.heartbeat.connection.checker","checker",4,10,2,0,2,0,""
"axon-messaging-4.10.1","org.axonframework.lifecycle","lifecycle",4,7,2,0,2,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.actuator.axonserver","axonserver",3,5,2,0,2,1,""
"axon-messaging-4.10.1","org.axonframework.common.jpa","jpa",3,5,2,0,2,0,""
"axon-messaging-4.10.1","org.axonframework.common.legacyjpa","legacyjpa",3,5,2,0,2,0,""
"axon-messaging-4.10.1","org.axonframework.common.lock","lock",3,7,2,0,1,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.service","service",3,10,2,0,2,1,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.service.connection","connection",3,10,2,0,2,1,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.heartbeat.source","source",2,2,2,0,2,0,""
"axon-messaging-4.10.1","org.axonframework.common.annotation","annotation",2,3,2,0,1,0,""
"axon-messaging-4.10.1","org.axonframework.common.property","property",2,3,2,0,1,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.actuator","actuator",1,3,1,0,1,0,""
"axon-server-connector-4.10.1","org.axonframework.axonserver.connector.event.util","util",1,2,1,0,1,0,""
"axon-messaging-4.10.1","org.axonframework.common.digest","digest",1,4,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.util.jpa","jpa",1,1,1,0,1,0,""
"axon-spring-boot-autoconfigure-4.10.1","org.axonframework.springboot.util.legacyjpa","legacyjpa",1,1,1,0,1,0,""
"axon-test-4.10.1","org.axonframework.test.server","server",1,2,1,0,1,0,""
"axon-messaging-4.10.1","org.axonframework.common.io","io",0,0,0,0,0,-1,""
"axon-messaging-4.10.1","org.axonframework.common.stream","stream",0,0,0,0,0,-1,""
"axon-messaging-4.10.1","org.axonframework.common.transaction","transaction",0,0,0,0,0,-1,""
